job_id,posted_date,company,job_title,location,employment_type,experience_level,salary_min_lpa,salary_max_lpa,job_description,redirect_url,category,source,source_query,source_location,true_role_label
ADZUNA_5738206408,2026-05-23T06:05:55Z,Right Advisors Private Limited,Data Scientist Machine Learning and AI GenAI Focus,"Chennai, Tamil Nadu, India",Unknown,,,,Description Key Responsibilities Design develop and deploy machine learning models for realworld business problems Work on endtoend ML lifecycle data preprocessing model building evaluation deployment and monitoring Implement and manage MLOps pipelines for scalable and reproducible workflows Utilize tools like MLflow for experiment tracking model versioning and lifecycle management Develop and integrate Generative AI GenAI solutions such as LLMbased applications Collaborate with crossfunctional…,https://www.adzuna.in/details/5738206408?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5737942273,2026-05-23T02:07:42Z,NTT,"Business Intelligence Analyst, People Analytics","Chennai, Tamil Nadu, India",full_time,,,,"Make an impact with NTT DATA Join a company that is pushing the boundaries of what is possible. We are renowned for our technical excellence and leading innovations, and for making a difference to our clients and society. Our workplace embraces diversity and inclusion – it’s a place where you can grow, belong and thrive. Your day at NTT DATA The Business Intelligence Analyst is a seasoned subject matter expert, tasked with participating in the transformation of data into insights that drive bus…",https://www.adzuna.in/details/5737942273?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5737746851,2026-05-22T22:27:10Z,KALDAN SOFTECH PRIVATE LIMITED,Junior Data Analyst,"Tondiarpet Fort St George, Chennai, Tamil Nadu",permanent,,,,"Job Summary: We are seeking a detail-oriented, analytical, and curious Junior Data Analyst to join our growing data team. In this role, you will play a crucial part in turning data into actionable insights. You will be responsible for gathering, cleaning, and analyzing datasets to help drive business decisions, optimize processes, and support various departments with reporting needs. This is an entry-level position perfect for someone looking to launch their career in data analytics, work with …",https://www.adzuna.in/details/5737746851?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5737582647,2026-05-22T17:53:23Z,Giggso,Head of Machine Learning,"Chennai, Tamil Nadu, India",full_time,,,,"Company Description Giggso, founded in 2017 in Michigan, is dedicated to assisting enterprises with digital transformation. As a certified Minority Business Enterprise (MBE), we provide unique perspectives to solve complex challenges. We specialize in advancing Fortune 500 companies from ""AI pilots"" to ""AI profit centers"" by focusing on the intersection of Governance, Risk, Compliance (GRC), and Engineering. Our mission is to transform AI governance from a barrier into a competitive edge. Learn…",https://www.adzuna.in/land/ad/5737582647?se=AAzmKplW8RGvjPD20Sc1wQ&utm_medium=api&utm_source=f82dfe0b&v=A81D072B73B77DBEE98FFAA342D9260FADF715CE,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5737564159,2026-05-22T17:48:08Z,MH Cockpit,Computer science - Teaching Faculty,"Chennai, Tamil Nadu, India",full_time,,,,"Position Overview: We’re Hiring Computer Science Faculty – AI/ML & Data Science Join our academic team and contribute to shaping the future of technology education. We are looking for passionate, knowledgeable, and student-focused Computer Science Faculty members with strong expertise in Artificial Intelligence, Machine Learning, and Data Science. Location: Chennai & Tiruppur Role: Full-time, On-site Joining: Immediate Joiners Preferred Key Responsibilities: • Deliver engaging lectures and prac…",https://www.adzuna.in/land/ad/5737564159?se=AAzmKplW8RGvjPD20Sc1wQ&utm_medium=api&utm_source=f82dfe0b&v=3F1DAA8F606DE63DD3C563CFF605AA9F81BB9E00,Teaching Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5737268688,2026-05-22T10:09:28Z,Kyndryl,IT Platform Lead - Data Engineering,"Chennai, Tamil Nadu, India",Unknown,,,,"Who We Are At Kyndryl, we run and reimagine the mission-critical technology systems that drive advantage for the world's leading businesses. We are at the heart of progress; with proven expertise and a continuous flow of AI-powered insight, enabling smarter decisions, faster innovation, and a lasting competitive edge. For our people-Kyndryls-that means doing purposeful work that powers human progress. Join us and experience a flexible, supportive environment where your well-being is prioritized…",https://www.adzuna.in/details/5737268688?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5737266922,2026-05-22T10:07:50Z,"Caterpillar, Inc.",Global Data Science Architect,"Chennai, Tamil Nadu, India",Unknown,,,,"Career Area: Engineering Job Description: Your Work Shapes the World at Caterpillar Inc. When you join Caterpillar, you're joining a global team who cares not just about the work we do - but also about each other. We are the makers, problem solvers, and future world builders who are creating stronger, more sustainable communities. We don't just talk about progress and innovation here - we make it happen, with our customers, where we work and live. Together, we are building a better world, so we…",https://www.adzuna.in/details/5737266922?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5737236042,2026-05-22T09:49:31Z,NielsenIQ,MLOps Engineer (Generative AI),"Chennai, Tamil Nadu, India",Unknown,,,,"Job Description The NIQ Innovation team is dedicated to exploring, evaluating, designing, and implementing cutting-edge solutions that leverage the latest technologies. Within Innovation, the Enablement Team plays a critical role in bringing Machine Learning (ML) and Artificial Intelligence (AI) solutions to production. This team is primarily composed of Software Engineers, ML Engineers, AI Specialists, and MLOps Engineers, acting as enablers to ensure robust engineering and deployment of advan…",https://www.adzuna.in/details/5737236042?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5736990933,2026-05-22T03:51:57Z,NielsenIQ,Machine Learning (Generative AI),"Chennai, Tamil Nadu, India",Unknown,,,,"Job Description About the team: The NIQ Innovation team is dedicated to exploring, evaluating, designing, and implementing cutting-edge solutions that leverage the latest technologies. Within Innovation, the Enablement Team plays a critical role in bringing Machine Learning (ML) solutions to production. This team is primarily composed of Software Engineers, ML Engineers, and MLOps Engineers, acting as enablers to ensure robust engineering and deployment of advanced solutions. We foster a cultur…",https://www.adzuna.in/details/5736990933?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5736990794,2026-05-22T03:51:56Z,Dr Reddy's Laboratories Limited,Regional Medical Advisor,"Chennai, Tamil Nadu, India",Unknown,,,,"Job Description Job Summary We are looking for the Primary scientific face of the organization to ‘Thought Leaders’ & physicians for a given therapy area. You will be responsible for Identification, mapping and profiling of thought leaders of given geography and therapy area, on an ongoing basis. Roles & Responsibilities • You will be responsible for the engagement of identified key thought leaders through medical affairs activities, in alignment with the overall strategic plan • You will be re…",https://www.adzuna.in/details/5736990794?utm_medium=api&utm_source=f82dfe0b,Scientific & QA Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5736884909,2026-05-22T02:26:12Z,Hitachi,R&D engineer - Artificial Intelligence - India Development Centre,"Chennai, Tamil Nadu, India",full_time,,,,"Location: Chennai, Tamil Nadu, India Job ID: R0127536 Date Posted: 2026-04-30 Company Name: HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED Profession (Job Category): Engineering & Science Job Schedule: Full time Remote: No Job Description: The opportunity: As a R&D Engineer – Artificial Intelligence for HVDC Digital R&D Unit you will be a part of the respective local department but also report to the R&D Team Manager. The candidate should also have enthusiasm for troubleshooting, analyzing,…",https://www.adzuna.in/details/5736884909?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5736776848,2026-05-22T02:08:58Z,EXL,Senior Executive,"Chennai, Tamil Nadu, India",full_time,,,,Description Conduct operational analyses to support process improvement initiatives. Prepare operational performance reports for management review. Support the development and optimization of healthcare analytics models. Perform more advanced data analysis and visualization tasks. Collaborate with team members to ensure data accuracy and insights. Enhance skills in healthcare analytics tools and technologies. Begin to mentor junior team members. Responsibilities Conduct analysis on operational …,https://www.adzuna.in/details/5736776848?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5736757407,2026-05-22T02:05:50Z,AstraZeneca,Technical Product Lead,"Chennai, Tamil Nadu, India",full_time,,,,"Job Title: Technical Product Lead GCL E Introduction to role: Are you ready to turn complex supply chain data into intelligent products that accelerate medicines to patients? Do you thrive at the intersection of product leadership, sophisticated analytics and real-world impact? As a Technical Product Lead, you will drive the strategy and delivery of data and AI products that power planning, sourcing and delivery across our global operations. You will partner with experts across manufacturing, s…",https://www.adzuna.in/details/5736757407?utm_medium=api&utm_source=f82dfe0b,Engineering Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5736373113,2026-05-21T17:39:35Z,upGrad,Data Science Instructor,"Chennai, Tamil Nadu, India",Unknown,,,,"Job Title: Data Science Instructor – Offline Learning Centres Location: Chennai Working Days: 6 (Monday – Saturday) About upGrad Founded in 2015, upGrad is Asia’s largest integrated Learning, Skilling, Workforce Development, and Placement company. Its offerings include online and hybrid degrees, study abroad programs, certifications, bootcamps, and doctorates for working professionals. Through its B2B arm, upGrad also provides enterprise training, recruitment, and staffing services. With 10M le…",https://www.adzuna.in/land/ad/5736373113?se=AAzmKplW8RGvjPD20Sc1wQ&utm_medium=api&utm_source=f82dfe0b&v=521CC8672B25D35B6A3B3EFE4418F6A633571C2D,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5736370883,2026-05-21T17:37:31Z,Paperflite,Associate Product Manager,"Chennai, Tamil Nadu, India",Unknown,,,,"Introducing Paperflite: Paperflite is a fast-growing SaaS company headquartered in the US with operations in Chennai, providing a next-generation content management platform for sales and marketing teams. Our platform empowers sales and marketing professionals to share, and track sales content with prospects and customers, enabling them to close deals faster and more efficiently. Our clientele includes leading companies from various industries, including technology, healthcare, and financial se…",https://www.adzuna.in/land/ad/5736370883?se=AAzmKplW8RGvjPD20Sc1wQ&utm_medium=api&utm_source=f82dfe0b&v=57B74624671EBF0259E253642EF2033FBD4E8F56,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5736368092,2026-05-21T17:32:58Z,Meril,Computer Vision Researcher,"Chennai, Tamil Nadu, India",Unknown,,,,"Job Title : Computer Vision Researcher . Location: Meril - Merai Newage Pvt Ltd, D block, 4th floor, Kanagam Road, Tharamani, Chennai 600 113. Shift Timings: Monday to Saturday (9 AM to 5.30 PM). Experience: 2 Years. Role Description We are seeking a highly skilled Vision-Language Model (VLM) Engineer to design, develop, and deploy state-of-the-art multimodal AI systems. You will work at the intersection of computer vision and natural language processing, contributing to cutting-edge products t…",https://www.adzuna.in/land/ad/5736368092?se=AAzmKplW8RGvjPD20Sc1wQ&utm_medium=api&utm_source=f82dfe0b&v=B17B56DB06D71590F867B391F4D86C119CEFE448,Scientific & QA Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5735692199,2026-05-21T06:05:41Z,Vidpro Consultancy Services,Databricks Engineer,"Chennai, Tamil Nadu, India",full_time,,18.0,25.0,"About the Opportunity Workplace: Hybrid (India) — a combination of on-site and remote work. This role requires occasional on-site presence to collaborate with local teams while supporting flexible remote work arrangements. We are a dynamic technology services provider operating in the Data & Analytics sector, dedicated to delivering innovative data solutions to our clients across various industries. Our team specializes in cloud-based analytics, big data engineering, and leveraging modern data …",https://www.adzuna.in/details/5735692199?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5735485901,2026-05-21T02:15:32Z,Dun & Bradstreet,Senior Gen AI Engineer (R-19088),"Chennai, Tamil Nadu, India",full_time,,,,"Shape the Future with Dun & Bradstreet At Dun & Bradstreet, we believe data has the power to create a better tomorrow. As a global leader in business decisioning data and analytics, we help companies worldwide grow, manage risk, and innovate. For over 180 years, businesses have trusted us to turn uncertainty into opportunity. We’re a diverse, global team that values creativity, collaboration, and bold ideas. Are you ready to make an impact and help shape what’s next? Join us! Explore opportunit…",https://www.adzuna.in/details/5735485901?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5735402587,2026-05-21T02:03:02Z,Ford Motor,Agile Techno Finance Analyst,"Chennai, Tamil Nadu, India",full_time,,,,"Description The Finance Transformation & Process Architect is a strategic hybrid role designed for a professional who ""connects the dots"" between complex financial operations and cutting-edge technology. You will be responsible for re-engineering core finance processes—specifically in Budgeting, Forecasting, and Budgetary Control—and translating those needs into a robust digital architecture. You are not just a functional expert or a developer; you are the bridge that ensures technology serves …",https://www.adzuna.in/details/5735402587?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5735245718,2026-05-20T20:13:40Z,Staples India Business Innovation Hub Private Limited,Senior AI Engineer,"Ekkaduthangal, Chennai, Tamil Nadu",permanent,,,,"We’re looking for a Senior AI Engineer I to help design, build, and scale our next generation promotion optimization and forecasting platform. This role sits at the intersection of machine learning, data science, and applied statistics, focusing on personalized promotions, price elasticity modeling, and demand forecasting across thousands of SKUs. You’ll work closely with data engineers, product managers, and marketing analytics to design AI driven decision systems that maximize business impact…",https://www.adzuna.in/details/5735245718?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5734682333,2026-05-20T07:21:42Z,Tata Consultancy Services,Big Data Developer,"Chennai, Tamil Nadu, India",Unknown,,,,"Walk in drive at 23 May 2026 Location Chennai - Siruseri ATL,Tata Consultancy Services (TCS) Siruseri Campus is located at Plot No. 1/G1, SIPCOT IT Park, Navalur Post, Siruseri, Chennai, Tamil Nadu 603103 Bangalore- TCS, Think Campus 42, 45-P, Hosur Rd, Phase II, Konappana Agrahara,Bengaluru, Karnataka 560100 Pune- A1 Interview Bay, Plot No. 2 & 3, Phase 3, Rajiv Gandhi Infotech Park, Hinjewadi, Pune, Maharashtra, 411057 Job Title Big Data Engineer – Hadoop Ecosystems Experience 4 to 15 Years L…",https://www.adzuna.in/land/ad/5734682333?se=AAzmKplW8RGvjPD20Sc1wQ&utm_medium=api&utm_source=f82dfe0b&v=E63D6156ACA94E3A0685389DF51FEC9644FADAE6,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5734648055,2026-05-20T07:07:35Z,Aditi Tech Consulting Private Limited,Project/Program Manager IT 4,"Chennai, Tamil Nadu, India",Unknown,,,,"Summary: The main function of an IT project/program manager is to plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming. Responsibilities: Review project plans to plan and coordinate project activity. Manage backup, security, and user help systems. Consult with users, management, vendors, and technicians to assess computing needs and system requirements. Meet with department heads, managers, superviso…",https://www.adzuna.in/details/5734648055?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5733752741,2026-05-19T10:08:04Z,UnitedHealth Group,"Data Scientist - Python, PySpark, SQL, GenAI / LLMs","Chennai, Tamil Nadu, India",Unknown,,,,"Requisition number: 2358578 Job category: Business & Data Analytics Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make a…",https://www.adzuna.in/details/5733752741?utm_medium=api&utm_source=f82dfe0b,Scientific & QA Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5732873806,2026-05-18T10:12:01Z,Comcast,Data Scientist 4,"Chennai, Tamil Nadu, India",Unknown,,,,"Comcast brings together the best in media and technology. We drive innovation to create the world's best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every…",https://www.adzuna.in/details/5732873806?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5732849654,2026-05-18T09:32:20Z,NielsenIQ,Senior Manager,"Chennai, Tamil Nadu, India",Unknown,,,,"Job Description Role Overview This role requires a highly experienced operations industry leader with end-to-end (E2E) ownership mindset, who will own an industry/ vertical completely within the US Operations. The individual is expected to bring deep process expertise, strong operational control, and the ability to articulate problem statements clearly, while driving outcomes through strong stakeholder collaboration. Key Requirements & Experience Strong end-to-end understanding of operational p…",https://www.adzuna.in/details/5732849654?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,chennai,
ADZUNA_5732148588,2026-05-17T10:05:34Z,Sanofi Group,Medical Science Liaison- Rare Blood Disorder,"Chennai, Tamil Nadu, India",Unknown,,,,"_Job Title:_ _Medical Science Liaison- Rare Blood Disorder_ _Division/Business Unit:_ _SE Asia & India MCO Medical, Pharma_ _Location_ _: Delhi, Mumbai/Chennai/Bangalore_ _Reporting to_ _: Medical Manager- Rare Blood Disorder_ _2. About the job_ The Scientific Advisor (MSL) is a dynamic career option that combines technical and scientific requirements, planning, and communication with internal and external partners. These are healthcare professionals with solid, in-depth, and up-to-date technic…",https://www.adzuna.in/details/5732148588?utm_medium=api&utm_source=f82dfe0b,Scientific & QA Jobs,adzuna_api,data scientist,chennai,
