job_id,posted_date,company,job_title,location,employment_type,experience_level,experience_source,salary_min_lpa,salary_max_lpa,salary_source,salary_is_predicted,api_salary_min_raw,api_salary_max_raw,job_description,category,source_query,source_location,redirect_url,source
ADZUNA_5705677339,2026-04-21 07:36:06+00:00,v4c.ai,Data Scientist,India,Unknown,Unknown,missing,,,missing,0,,,"Overview: The Data Scientist supports the development and implementation of data models, focusing on Machine Learning, under the supervision of more experienced scientists, contributing to the team’s innovative projects. Job Description: Assist in the development of Machine Learning models and algorithms, contributing to the design and implementation of data-driven solutions. Perform data preprocessing, cleaning, and analysis, preparing datasets for modeling and supporting higher-level data sci…",,data scientist,India,https://www.adzuna.in/land/ad/5705677339?se=kCUdXalW8RGWQvEe2bTbLw&utm_medium=api&utm_source=f82dfe0b&v=58926BD4E3AA1EE5C9BE6D19020DF2387117E7B4,adzuna_api
ADZUNA_5720302690,2026-05-06 16:19:14+00:00,UNISYNQ,Data Scientist,"Bangalore, Karnataka",contract,Entry,text_derived,,,missing,0,,,"Company Description Unisynq is redefining engineering education by blending academic learning with real-world experiences. Through a work-integrated pathway, students engage in hands-on projects, gain industry exposure, and participate in internships to build practical expertise. Focused on results, Unisynq emphasizes skill development, experience, and job readiness. Our approach equips future engineers to tackle real-world challenges and excel in their careers with confidence. Role Description…",,data scientist,India,https://www.adzuna.in/land/ad/5720302690?se=kCUdXalW8RGWQvEe2bTbLw&utm_medium=api&utm_source=f82dfe0b&v=5B46FA5099CB9CC0AD697146F8D214B7F22C500E,adzuna_api
ADZUNA_5721569065,2026-05-07 16:26:37+00:00,Astek,Data Scientist,"Kochi, Ernakulam",Unknown,Unknown,missing,,,missing,0,,,"5 years in an analytical position. Coding experience required Degree in Mathematics, Statistics, Data Science or similar required Proven experience handling end-to-end data science projects starting from problem understanding, data cleaning and analysis, modelling, testing and (ideally) deployment Advanced knowledge of Python, SQL and Excel. R and JavaScript knowledge is nice to have Experience with typical data science packages: numpy, pandas, matplotlib/seaborn, scikit-learn, scipy, statsmode…",,data scientist,India,https://www.adzuna.in/land/ad/5721569065?se=kCUdXalW8RGWQvEe2bTbLw&utm_medium=api&utm_source=f82dfe0b&v=3A94FD3A4A6339ADF61AD669E6A7AC6B71D8C457,adzuna_api
ADZUNA_5730009449,2026-05-15 09:19:02+00:00,"Simelabs - Digital, AI/ML, Automation, Robotics, Gen AI.",Data Scientist,"Kerala, India",Unknown,Unknown,missing,,,missing,0,,,"5 years in an analytical position. Coding experience required § Degree in Mathematics, Statistics, Data Science or similar required § Proven experience handling end-to-end data science projects starting from problem understanding, data cleaning and analysis, modelling, testing and (ideally) deployment § Advanced knowledge of Python, SQL and Excel. R and JavaScript knowledge is nice to have § Experience with typical data science packages: numpy, pandas, matplotlib/seaborn, scikit-learn, scipy, s…",,data scientist,India,https://www.adzuna.in/land/ad/5730009449?se=kCUdXalW8RGWQvEe2bTbLw&utm_medium=api&utm_source=f82dfe0b&v=D57CA69F73E4E06781988BEA0C66ED33A650C726,adzuna_api
ADZUNA_5737570564,2026-05-22 17:50:56+00:00,Flexi Roundtables : Top 1% Leaders,Data Scientist,India,full_time,Lead,text_derived,,,missing,0,,,"Company Description Flexi Roundtables: Top 1% Leaders is an invite-only forum that connects elite professionals with expertise in business, quality, data, and content analysis. The team focuses on building strong and vibrant communities for customer acquisition, retention, and engagement. With a commitment to delivering unparalleled value to customers, the organization stands out by fostering meaningful connections and insights. Flexi Roundtables thrives on innovation and excellence to drive su…",,data scientist,India,https://www.adzuna.in/land/ad/5737570564?se=kCUdXalW8RGWQvEe2bTbLw&utm_medium=api&utm_source=f82dfe0b&v=1200E6FD42AB3CA133DE534E275AF09D75140C12,adzuna_api
ADZUNA_5683837241,2026-03-31 10:32:12+00:00,UptimeAI Inc.,Data Scientist,"Bangalore, Karnataka",Unknown,Lead,text_derived,,,missing,0,,,"About UptimeAI: UptimeAI is leading the way in predictive analytics and AI-driven solutions to optimize operational uptime and reduce downtime for industrial and enterprise clients. Our innovative platform harnesses cutting-edge data science to deliver actionable insights, ensuring maximum efficiency and reliability. UptimeAI uniquely combines Artificial Intelligence with Subject Matter Knowledge from 200 years of cumulative experience to explain interrelations across upstream/downstream equipm…",,data scientist,India,https://www.adzuna.in/land/ad/5683837241?se=kCUdXalW8RGWQvEe2bTbLw&utm_medium=api&utm_source=f82dfe0b&v=675949832F0EAD4330A4EFB1201CC4FD25B941A5,adzuna_api
ADZUNA_5732317781,2026-05-17 15:39:21+00:00,IBM,Data Scientist,"Bangalore, Karnataka",Unknown,Unknown,missing,,,missing,0,,,"zaJob Title: Data Scientist – Advanced Analytics Location: Bangalore | Experience: 7 Years Short Job Description We are looking for a skilled Data Scientist with strong expertise in advanced analytics, statistical modeling, and machine learning . The role involves analyzing large datasets, building predictive models, and delivering actionable insights to support business decisions. Key Requirements Experience in Data Science / Advanced Analytics Proficiency in Python, R, or SQL Knowledge of mac…",,data scientist,India,https://www.adzuna.in/land/ad/5732317781?se=kCUdXalW8RGWQvEe2bTbLw&utm_medium=api&utm_source=f82dfe0b&v=E87381D52CF0D946E44B885525FA74E3E355012C,adzuna_api
ADZUNA_5710339532,2026-04-25 18:06:15+00:00,Tata Consultancy Services,Data Scientist,"Bangalore, Karnataka",Unknown,Senior,text_derived,,,missing,0,,,"Role- Data scientist Year of Experience- 10 to 18 years Location-Pan India Required Skill set- Python, PySpark, ML-Ops, NLP, AWS/ GCP/ Azure Data Scientist: 10 yrs of industry experience on customer projects involving model development and deployment Provide AI/ML solution to business problems in BFSI domain and work with relevant stakeholders to provide actionable insights and data science solutions Hands-on model selection, training and tuning Data processing, feature engineering, feature sel…",,data scientist,India,https://www.adzuna.in/land/ad/5710339532?se=kCUdXalW8RGWQvEe2bTbLw&utm_medium=api&utm_source=f82dfe0b&v=7D4006C75EBAC74484C8DB9702F15FD8A063E4BD,adzuna_api
ADZUNA_5717813880,2026-05-03 15:41:53+00:00,AB InBev GCC India,Data Scientist,"Bangalore, Karnataka",Unknown,Unknown,missing,,,missing,0,,,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",,data scientist,India,https://www.adzuna.in/land/ad/5717813880?se=kCUdXalW8RGWQvEe2bTbLw&utm_medium=api&utm_source=f82dfe0b&v=204947A16166D8DE11035EB28E8FA257A2CCA6E6,adzuna_api
ADZUNA_5724224636,2026-05-09 18:30:17+00:00,C5i,Data Scientist,"Bangalore, Karnataka",Unknown,Unknown,missing,,,missing,0,,,"We are looking for an experienced Data Scientist to join our team in Bengaluru (Mahadevapura). If you are passionate about solving real-world business problems using Data Science, Machine Learning, and Generative AI, we would love to connect with you! Location: Bengaluru (Mahadevapura) Work Mode: 5 Days Work From Office Experience: 5 Years ⚡ Preference: Immediate Joiners Responsibilities: Build and optimize scalable ML/Data Science solutions Work on forecasting and supply chain optimization …",,data scientist,India,https://www.adzuna.in/land/ad/5724224636?se=kCUdXalW8RGWQvEe2bTbLw&utm_medium=api&utm_source=f82dfe0b&v=3B5060279CC10006568E76FA5917EFAD53A5089B,adzuna_api
