job_id,posted_date,company,job_title,location,employment_type,experience_level,salary_min_lpa,salary_max_lpa,job_description,source,experience_source,salary_source,salary_is_predicted,api_salary_min_raw,api_salary_max_raw,category,source_query,source_location,redirect_url
INDIA2025_240925027980,2026-05-14,Agileqos Careers,Ibs Engineer,"Hyderabad, Bengaluru",full_time,Associate,2.0,3.25,"Ibs Engineer role. Required skills: UBR,IBS,Tableau,RIL tools,Small Cell,Earthing,L2,Battery. Experience level: Associate. Employment type: full_time. Company: Agileqos Careers. Location: Hyderabad, Bengaluru. Job description: Hands-on with RIL tools(Jio Track, Tableau). Preventive & corrective maintenance of Small Cell, WiFi, UBR, L2 Switch, OSP/IBS systems. Maintenance of SMPS, Battery, Earthing systems. Replace faulty modules, support NOC team with SAP entries.",indian_job_market_2025,,,,,,,,,
INDIA2025_260925919795,2026-05-16,Talent21,Sap Scm Consultant,Hybrid - Hyderabad,full_time,Mid,20.0,25.0,"Sap Scm Consultant role. Required skills: SAP SCM,o9,Data Analytics,Supply Chain,SQL,SNP,JDA,I2. Experience level: Mid. Employment type: full_time. Company: Talent21. Location: Hybrid - Hyderabad. Job description: Preferred candidate profile Prefer 3 - 10 years of experience in data analytics in supply chain function. Role & responsibilities . .",indian_job_market_2025,,,,,,,,,
INDIA2025_170425023226,2026-05-15,Vichara Technologies,Power Bi Engineer,"Hybrid - Kolkata, Hyderabad, Delhi / NCR",full_time,Senior,30.0,35.0,"Power Bi Engineer role. Required skills: Power Bi,Power Query,SQL,Dax,Fabric,Query Optimization,Performance Tuning,Modeling. Experience level: Senior. Employment type: full_time. Company: Vichara Technologies. Location: Hybrid - Kolkata, Hyderabad, Delhi / NCR. Job description: Architect and develop Power BI dashboards, reports, and visualizations Optimize advanced SQL queries to extract, transform, and load data Implement DAX calculations5+ years of experience SQL and Power BI. Expert-level Power BI Desktop, Service, and DAX. Strong knowledge of dimensional modeling, star/snowflake schemas. Azure and Fsabric experience",indian_job_market_2025,,,,,,,,,
INDIA2025_31025501546,2026-05-23,Miratech,Junior Cloud Infrastructure Engineer,Bengaluru,full_time,Associate,8.0,15.0,"Junior Cloud Infrastructure Engineer role. Required skills: kubernetes,python,kvm,ubuntu,cisco ucs,vmware,redhat linux,microsoft azure. Experience level: Associate. Employment type: full_time. Company: Miratech. Location: Bengaluru. Job description: Assist in the implementation and support of multi-tenant OpenStack infrastructure and Kubernetes clusters across multi-region environments. Support the provisioning and configuration of Ubuntu KVM, Cisco UCS servers, Pure Storage, and Ceph under guidance from senior engineers. Contribute to automation tasks using tools such as Ansible, Terraform, or Pulumi for infrastructure setup and lifecycle management. Help maintain and improve infrastructure delivery pipelines, including updates, patching, and rollback procedures. Monitor and support observability tools (Prometheus, Grafana, Loki, etc. ) to detect and report incidents. Participate in activities to strengthen high availability, scalability, and disaster recovery of services. Assist in troubleshooting infrastructure issues, escalating complex problems to senior team members. Join the on-call rotation and contribute to incident response and post-mortem analysis under mentorship.",indian_job_market_2025,,,,,,,,,
INDIA2025_230925023634,2026-05-13,Quench Techno Valley,Gen AI Architect,Noida,full_time,Senior,30.0,45.0,"Gen AI Architect role. Required skills: langchain,rag,gen ai,pandas,mlops,python,llm,Gen. Experience level: Senior. Employment type: full_time. Company: Quench Techno Valley. Location: Noida. Job description: Position Name: GenAI Architect/Senior Architect Number of positions: 4 Location: Noida, Sector 126 (Only) Experience required: 15+ Years in total Experience in GenAI Architecture: 2 years+ Mandate",indian_job_market_2025,,,,,,,,,
INDIA2025_260925029831,2026-05-16,Oxygent Consulting Services,Wix SEO Expert,Remote,full_time,Entry,3.0,5.0,"Wix SEO Expert role. Required skills: Wix SEO,Google Analytics,Keyword Research,Ranking Improvement,SEO Audits,Backlinking,Content Strategy,On-page SEO. Experience level: Entry. Employment type: full_time. Company: Oxygent Consulting Services. Location: Remote. Job description: Hiring Wix SEO Expert | Optimize websites for higher rankings & traffic | Min 1 yr Wix SEO exp mandatory | Salary up to 30K | Apply now!",indian_job_market_2025,,,,,,,,,
INDIA2025_300925505037,2026-05-20,Bayone Solutions,ML Engineer,Gurugram,full_time,Entry,15.0,20.0,"ML Engineer role. Required skills: SAN,System architecture,Web technologies,Machine learning,Manager Technology,Healthcare,Apache,Forecasting. Experience level: Entry. Employment type: full_time. Company: Bayone Solutions. Location: Gurugram. Job description: Machine Learning Engineer BayOne Solutions I Multiple Global Locations (Remote) Position Overview BayOne Solutions is seeking an exceptional Senior Machine Learning Engineer who combines strong programming fundamentals with practical machine learning expertise and proven ability to deploy ML systems in production environments. This role is critical to building robust, scalable machine learning solutions while serving as a technical mentor and strategic contributor to our AI initiatives. As our Senior Machine Learning Engineer, you will architect and implement traditional ML systems, guide technical decision-making between classical ML and generative AI approaches, and work collaboratively across our GenAI, computer vision, and web development teams. This position offers the opportunity to work with Fortune 500 clients while building production ML systems that solve real business challenges. Key Responsibilities Machine Learnin",indian_job_market_2025,,,,,,,,,
INDIA2025_290925026836,2026-05-19,Optimum Solutions,"BA / Project Manager (Transaction banking - Cash, Payment)",Pune,full_time,Senior,25.0,40.0,"BA / Project Manager (Transaction banking - Cash, Payment) role. Required skills: Business Analyst,Transaction Banking,Project Manager,Corporate Banking,Cash Management,Payment,Payments,Project management. Experience level: Senior. Employment type: full_time. Company: Optimum Solutions. Location: Pune. Job description: Proven expertise in Corporate Banking,Transaction Banking (Payments,Cash Management,Trade) . . Strong knowledge of project definition,requirements gathering,and documentation. . Hands-on experience with project governance,planning,and RAID log management . Preferred: Experience in core banking system implementation for large banks",indian_job_market_2025,,,,,,,,,
INDIA2025_230925929840,2026-05-13,Purview Services,Big Data Engineer,Bangalore Rural,full_time,Mid,15.0,25.0,"Big Data Engineer role. Required skills: SCALA,Hadoop,Big Data Engineer,Spark,AWS,Big Data,Data. Experience level: Mid. Employment type: full_time. Company: Purview Services. Location: Bangalore Rural. Job description: Required Skills: . Strong experience with AWS Data Services (Glue,Redshift,S3,Lambda,Kinesis,Athena) Experience with ETL / ELT pipeline design and data warehousing concepts Experience with Kafka or Kinesis for real-time data streaming Hands-on experience with data security and governance",indian_job_market_2025,,,,,,,,,
INDIA2025_11025015237,2026-05-21,TMF Group,Qliksense Developer,Hybrid - Bengaluru,full_time,Associate,2.0,5.0,"Qliksense Developer role. Required skills: Qlik Sense Development,Qlik Sense,SQL,QlikView,Development,Qlik. Experience level: Associate. Employment type: full_time. Company: TMF Group. Location: Hybrid - Bengaluru. Job description: Role & responsibilities : Design and develop end-to-end Qlik Sense applications, including data models, visualizations, dashboards, and reports, to provide actionable insights and support strategic decision-making. Collaborate with business analysts to understand data requirements and translate them into efficient and effective data models and visualization solutions. Create and manage data connections, ETL processes, and data transformations to ensure accurate and reliable data integration within Qlik Sense applications. Optimize the performance and responsiveness of Qlik Sense applications by identifying and resolving performance bottlenecks and usability challenges. Lead the testing, debugging, and quality assurance efforts to ensure the reliability and integrity of developed applications. Continuously monitor and maintain existing Qlik Sense applications, identifying opportunities for enhancement and improvement based on user feedback and changing bu",indian_job_market_2025,,,,,,,,,
