job_id,posted_date,company,job_title,location,employment_type,experience_level,salary_min_lpa,salary_max_lpa,job_description,source
KAGGLE_000001,2026-05-06,company_003,data scientist,"Grapevine, TX . Hybrid",hybrid,Senior,90.42,180.84,"data scientist role. requiring skills: ['spark', 'r', 'python', 'scala', 'machine learning', 'tensorflow']. seniority level: Senior. work mode/status: hybrid. company: company_003. location: Grapevine, TX . Hybrid. industry: Retail.",kaggle
KAGGLE_000002,2026-05-08,company_005,data scientist,"Fort Worth, TX . Hybrid",hybrid,Lead,106.86,106.86,"data scientist role. requiring skills: ['spark', 'r', 'python', 'sql', 'machine learning']. seniority level: Lead. work mode/status: hybrid. company: company_005. location: Fort Worth, TX . Hybrid. industry: Manufacturing.",kaggle
KAGGLE_000003,2026-04-23,company_007,data scientist,"Austin, TX . Toronto, Ontario, Canada . Kirkland, WA . Orlando, FL . Edmonton, Alberta, Canada + 1 More",on-site,Senior,85.49,143.6,"data scientist role. requiring skills: ['aws', 'git', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning']. seniority level: Senior. work mode/status: on-site. company: company_007. location: Austin, TX . Toronto, Ontario, Canada . Kirkland, WA . Orlando, FL . Edmonton, Alberta, Canada + 1 More. industry: Technology.",kaggle
KAGGLE_000004,2026-05-15,company_008,data scientist,"Chicago, IL . Scottsdale, AZ . Austin, TX . Hybrid",hybrid,Senior,101.52,174.96,"data scientist role. requiring skills: ['sql', 'r', 'python']. seniority level: Senior. work mode/status: hybrid. company: company_008. location: Chicago, IL . Scottsdale, AZ . Austin, TX . Hybrid. industry: Technology.",kaggle
KAGGLE_000005,2026-05-20,company_009,data scientist,On-site,on-site,Unknown,102.75,205.5,data scientist role. requiring skills: []. seniority level: Unknown. work mode/status: on-site. company: company_009. location: On-site. industry: Finance.,kaggle
KAGGLE_000006,2026-02-23,company_013,data scientist,"New York, NY",Unknown,Lead,176.73,226.05,"data scientist role. requiring skills: ['scikit-learn', 'python', 'scala', 'sql', 'machine learning', 'tensorflow']. seniority level: Lead. work mode/status: Unknown. company: company_013. location: New York, NY. industry: Technology.",kaggle
KAGGLE_000007,2026-05-08,company_014,data scientist,"Berkeley, CA",Unknown,Entry,46.2,63.13,"data scientist role. requiring skills: []. seniority level: Entry. work mode/status: Unknown. company: company_014. location: Berkeley, CA. industry: Education.",kaggle
KAGGLE_000008,2026-05-14,company_015,machine learning engineer,"Menlo Park, CA",on-site,Senior,109.33,119.2,"machine learning engineer role. requiring skills: ['machine learning']. seniority level: Senior. work mode/status: on-site. company: company_015. location: Menlo Park, CA. industry: Technology.",kaggle
KAGGLE_000009,2026-05-17,company_019,data scientist,Fully Remote,remote,Senior,186.6,186.6,data scientist role. requiring skills: []. seniority level: Senior. work mode/status: remote. company: company_019. location: Fully Remote. industry: Technology.,kaggle
KAGGLE_000010,2026-05-22,company_021,data scientist,On-site,on-site,Senior,197.28,197.28,data scientist role. requiring skills: []. seniority level: Senior. work mode/status: on-site. company: company_021. location: On-site. industry: Technology.,kaggle
KAGGLE_000011,2026-05-08,company_022,data scientist,"Atlanta, GA",Unknown,Senior,87.13,87.13,"data scientist role. requiring skills: ['pytorch', 'r', 'python', 'sql', 'machine learning', 'keras', 'deep learning', 'tensorflow']. seniority level: Senior. work mode/status: Unknown. company: company_022. location: Atlanta, GA. industry: Technology.",kaggle
KAGGLE_000012,2026-05-17,company_027,data scientist,Greater Vancouver Metropolitan Area,Unknown,Mid,56.43,80.36,"data scientist role. requiring skills: ['java', 'git', 'python']. seniority level: Mid. work mode/status: Unknown. company: company_027. location: Greater Vancouver Metropolitan Area. industry: Education.",kaggle
KAGGLE_000013,2026-05-15,company_029,data scientist,"Minneapolis, MN . Fully Remote",remote,Senior,89.52,149.36,"data scientist role. requiring skills: ['sql', 'machine learning', 'python']. seniority level: Senior. work mode/status: remote. company: company_029. location: Minneapolis, MN . Fully Remote. industry: Manufacturing.",kaggle
KAGGLE_000014,2026-05-04,company_031,data scientist,"Titusville, NJ . Titusville, New Jersey, United States",on-site,Senior,101.11,106.04,"data scientist role. requiring skills: ['sql', 'machine learning', 'r', 'python']. seniority level: Senior. work mode/status: on-site. company: company_031. location: Titusville, NJ . Titusville, New Jersey, United States. industry: Healthcare.",kaggle
KAGGLE_000015,2026-04-23,company_034,data scientist,"Arlington, VA",on-site,Senior,115.08,135.63,"data scientist role. requiring skills: ['pandas', 'powerbi', 'python', 'java', 'sql', 'machine learning', 'tableau']. seniority level: Senior. work mode/status: on-site. company: company_034. location: Arlington, VA. industry: Technology.",kaggle
KAGGLE_000016,2026-05-09,company_037,data scientist,Fully Remote,remote,Senior,120.84,120.84,data scientist role. requiring skills: []. seniority level: Senior. work mode/status: remote. company: company_037. location: Fully Remote. industry: Finance.,kaggle
KAGGLE_000017,2026-05-17,company_038,data scientist,"Bengaluru, Karnataka, India",Unknown,Lead,47.47,47.47,"data scientist role. requiring skills: ['spark', 'aws', 'r', 'python', 'machine learning', 'gcp', 'deep learning', 'hadoop', 'azure']. seniority level: Lead. work mode/status: Unknown. company: company_038. location: Bengaluru, Karnataka, India. industry: Technology.",kaggle
KAGGLE_000018,2026-05-15,company_039,data scientist,"Charlotte, NC . On-site",on-site,Lead,114.26,178.38,"data scientist role. requiring skills: ['aws', 'r', 'python', 'sql', 'machine learning', 'azure', 'tableau']. seniority level: Lead. work mode/status: on-site. company: company_039. location: Charlotte, NC . On-site. industry: Finance.",kaggle
KAGGLE_000019,2026-05-10,company_040,data scientist,Fully Remote,remote,Senior,166.87,205.5,data scientist role. requiring skills: []. seniority level: Senior. work mode/status: remote. company: company_040. location: Fully Remote. industry: Education.,kaggle
KAGGLE_000020,2026-05-04,company_041,machine learning engineer,"Basel, Basel, Switzerland",Unknown,Entry,72.11,72.11,"machine learning engineer role. requiring skills: ['pytorch', 'python', 'machine learning', 'deep learning', 'tensorflow']. seniority level: Entry. work mode/status: Unknown. company: company_041. location: Basel, Basel, Switzerland. industry: Healthcare.",kaggle
KAGGLE_000021,2026-05-15,company_043,data scientist,"Toronto, Ontario, Canada . On-site",on-site,Senior,65.35,65.35,"data scientist role. requiring skills: ['pytorch', 'spark', 'git', 'r', 'python', 'sql', 'machine learning', 'tensorflow']. seniority level: Senior. work mode/status: on-site. company: company_043. location: Toronto, Ontario, Canada . On-site. industry: Finance.",kaggle
KAGGLE_000022,2026-05-15,company_044,data scientist,"Findlay, OH . Denver, CO . San Antonio, TX",on-site,Senior,85.74,147.8,"data scientist role. requiring skills: ['pytorch', 'scikit-learn', 'python', 'machine learning', 'deep learning', 'tensorflow']. seniority level: Senior. work mode/status: on-site. company: company_044. location: Findlay, OH . Denver, CO . San Antonio, TX. industry: Energy.",kaggle
KAGGLE_000023,2026-05-17,company_045,data scientist,"Toronto, Ontario, Canada",on-site,Senior,76.54,76.54,"data scientist role. requiring skills: ['airflow', 'spark', 'machine learning', 'python']. seniority level: Senior. work mode/status: on-site. company: company_045. location: Toronto, Ontario, Canada. industry: Technology.",kaggle
KAGGLE_000024,2026-02-23,company_046,data scientist,"San Francisco, CA",Unknown,Senior,131.53,189.07,"data scientist role. requiring skills: []. seniority level: Senior. work mode/status: Unknown. company: company_046. location: San Francisco, CA. industry: Technology.",kaggle
KAGGLE_000025,2026-04-23,company_047,data scientist,"Bengaluru, Karnataka, India",Unknown,Lead,9.04,9.04,"data scientist role. requiring skills: ['deep learning', 'machine learning']. seniority level: Lead. work mode/status: Unknown. company: company_047. location: Bengaluru, Karnataka, India. industry: Technology.",kaggle
KAGGLE_000026,2026-02-23,company_048,data scientist,"Remote, US . Fully Remote",remote,Unknown,82.2,98.64,"data scientist role. requiring skills: []. seniority level: Unknown. work mode/status: remote. company: company_048. location: Remote, US . Fully Remote. industry: Technology.",kaggle
KAGGLE_000027,2026-05-08,company_049,data scientist,"Huntsville, AL . Merritt Island, FL . Seattle, WA",Unknown,Senior,112.65,157.72,"data scientist role. requiring skills: ['aws', 'git', 'r', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'azure']. seniority level: Senior. work mode/status: Unknown. company: company_049. location: Huntsville, AL . Merritt Island, FL . Seattle, WA. industry: Technology.",kaggle
KAGGLE_000028,2026-05-15,company_050,data scientist,"San Francisco, CA",Unknown,Senior,135.64,135.64,"data scientist role. requiring skills: ['sql', 'machine learning', 'r', 'python']. seniority level: Senior. work mode/status: Unknown. company: company_050. location: San Francisco, CA. industry: Education.",kaggle
KAGGLE_000029,2026-04-23,company_051,data scientist,"Laurel, MD",on-site,Senior,189.06,189.06,"data scientist role. requiring skills: ['python']. seniority level: Senior. work mode/status: on-site. company: company_051. location: Laurel, MD. industry: Technology.",kaggle
KAGGLE_000030,2026-04-23,company_052,machine learning engineer,"Amsterdam, North Holland, Netherlands",Unknown,Senior,65.26,65.26,"machine learning engineer role. requiring skills: ['sql', 'machine learning', 'python']. seniority level: Senior. work mode/status: Unknown. company: company_052. location: Amsterdam, North Holland, Netherlands. industry: Technology.",kaggle
KAGGLE_000031,2026-05-16,company_054,data scientist,"Richmond, VA . On-site",on-site,Lead,101.06,101.06,"data scientist role. requiring skills: ['machine learning', 'python']. seniority level: Lead. work mode/status: on-site. company: company_054. location: Richmond, VA . On-site. industry: Technology.",kaggle
KAGGLE_000032,2026-04-28,company_057,data scientist,"Seattle, WA . Hybrid",hybrid,Lead,119.19,119.19,"data scientist role. requiring skills: ['r', 'python', 'sql', 'machine learning', 'tableau']. seniority level: Lead. work mode/status: hybrid. company: company_057. location: Seattle, WA . Hybrid. industry: Retail.",kaggle
KAGGLE_000033,2026-05-08,company_061,data scientist,"Manchester, England, United Kingdom . Hybrid",hybrid,Senior,41.1,57.54,"data scientist role. requiring skills: ['spark', 'python', 'airflow', 'sql', 'machine learning']. seniority level: Senior. work mode/status: hybrid. company: company_061. location: Manchester, England, United Kingdom . Hybrid. industry: Technology.",kaggle
KAGGLE_000034,2026-05-16,company_054,data scientist,"Richmond, VA . On-site",on-site,Senior,101.06,101.06,"data scientist role. requiring skills: ['machine learning', 'python']. seniority level: Senior. work mode/status: on-site. company: company_054. location: Richmond, VA . On-site. industry: Technology.",kaggle
KAGGLE_000035,2026-05-16,company_064,Unknown Role,"Barcelona, Catalonia, Spain",Unknown,Mid,25.26,25.26,"Unknown Role role. requiring skills: ['git', 'r', 'python', 'linux', 'bash']. seniority level: Mid. work mode/status: Unknown. company: company_064. location: Barcelona, Catalonia, Spain. industry: Technology.",kaggle
KAGGLE_000036,2026-05-20,company_065,data scientist,"Toronto, Ontario, Canada",on-site,Senior,74.97,112.45,"data scientist role. requiring skills: ['pandas', 'numpy', 'scikit-learn', 'python', 'sql', 'azure', 'tableau']. seniority level: Senior. work mode/status: on-site. company: company_065. location: Toronto, Ontario, Canada. industry: Technology.",kaggle
KAGGLE_000037,2023-05-23,company_066,data scientist,"Foster City, CA . Hybrid",hybrid,Senior,178.38,242.5,"data scientist role. requiring skills: []. seniority level: Senior. work mode/status: hybrid. company: company_066. location: Foster City, CA . Hybrid. industry: Technology.",kaggle
KAGGLE_000038,2026-05-04,company_067,data scientist,"San Francisco, CA, US . Seattle, WA, US . Hybrid",hybrid,Senior,234.19,234.19,"data scientist role. requiring skills: []. seniority level: Senior. work mode/status: hybrid. company: company_067. location: San Francisco, CA, US . Seattle, WA, US . Hybrid. industry: Technology.",kaggle
KAGGLE_000039,2026-04-23,company_069,data scientist,United States,Unknown,Lead,102.92,102.92,"data scientist role. requiring skills: ['pytorch', 'spark', 'scikit-learn', 'python', 'neural network', 'machine learning', 'deep learning', 'tensorflow']. seniority level: Lead. work mode/status: Unknown. company: company_069. location: United States. industry: Technology.",kaggle
KAGGLE_000040,2026-05-08,company_071,data scientist,"Cambridge, MA",on-site,Mid,129.88,178.38,"data scientist role. requiring skills: ['r', 'python', 'sql', 'machine learning', 'tableau']. seniority level: Mid. work mode/status: on-site. company: company_071. location: Cambridge, MA. industry: Technology.",kaggle
