job_id,posted_date,company,job_title,location,employment_type,experience_level,salary_min_lpa,salary_max_lpa,job_description,source,true_role_label
JOB00001,2024-01-21,PeopleData Systems,Associate Data Scientist,Pune,Full-time,Associate,10,20,"PeopleData Systems is hiring a Associate Data Scientist in Pune. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Data Visualization, LLM, Machine Learning, Model Evaluation, Python, SQL, Scikit-learn, Statistics, Tableau and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Scientist
JOB00002,2024-02-01,TalentGraph AI,Associate Data Engineer,Remote India,Full-time,Associate,10,18,"TalentGraph AI is hiring a Associate Data Engineer in Remote India. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Airflow, Data Engineering, Data Warehousing, ETL, Econometrics, Model Evaluation, Python, SQL, Scikit-learn and Spark. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Engineer
JOB00003,2024-03-07,FutureWorks Analytics,Data Engineer,Pune,Internship,Mid,13,21,"FutureWorks Analytics is hiring a Data Engineer in Pune. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Airflow, Data Engineering, Data Visualization, Data Warehousing, ETL, Econometrics, Model Evaluation, OpenAI API, Python, SQL and Spark. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Engineer
JOB00004,2024-04-24,CareerMap Technologies,Associate Data Analyst,Remote India,Contract,Associate,9,16,"CareerMap Technologies is hiring a Associate Data Analyst in Remote India. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Data Visualization, ETL, Excel, KPI Reporting, Power BI, Python, SQL, Scikit-learn, Statistics, Tableau and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Analyst
JOB00005,2024-05-21,PeopleData Systems,Associate NLP Engineer,Hyderabad,Full-time,Associate,11,19,"PeopleData Systems is hiring a Associate NLP Engineer in Hyderabad. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Airflow, Econometrics, Gemini API, Information Extraction, LLM, Model Evaluation, Natural Language Processing, OpenAI API, Prompt Engineering, Python, RAG, Semantic Search, Sentence Transformers, Spark and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,NLP Engineer
JOB00006,2024-06-03,BrightPath Analytics,ML Engineer,Coimbatore,Internship,Mid,15,23,"BrightPath Analytics is hiring a ML Engineer in Coimbatore. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include APIs, Docker, ETL, LangChain, MLOps, Machine Learning, Model Evaluation, Python, SQL, Scikit-learn and Spark. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,ML Engineer
JOB00007,2024-07-25,MetroTech Labs,Senior Data Analyst,Mumbai,Full-time,Senior,20,25,"MetroTech Labs is hiring a Senior Data Analyst in Mumbai. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Data Visualization, Econometrics, Excel, KPI Reporting, Machine Learning, Power BI, SQL, Scikit-learn, Semantic Search, Statistics and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Analyst
JOB00008,2024-08-02,BrightPath Analytics,Junior Data Analyst,Bangalore,Full-time,Entry,5,14,"BrightPath Analytics is hiring a Junior Data Analyst in Bangalore. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Airflow, Data Visualization, Excel, Gemini API, KPI Reporting, LLM, Machine Learning, Power BI, SQL, Statistics and Tableau. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,Data Analyst
JOB00009,2024-09-10,Nexa Workforce,Senior NLP Engineer,Coimbatore,Full-time,Senior,20,28,"Nexa Workforce is hiring a Senior NLP Engineer in Coimbatore. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include Information Extraction, LLM, Natural Language Processing, Prompt Engineering, Python, RAG, SQL, Scikit-learn, Semantic Search, Sentence Transformers, Statistics and Vector Database. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,NLP Engineer
JOB00010,2024-10-08,CareerMap Technologies,ML Engineer,Pune,Full-time,Mid,16,25,"CareerMap Technologies is hiring a ML Engineer in Pune. The role works with product, data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets, building analytical datasets, developing models, communicating recommendations, and creating dashboards. Required skills include APIs, Airflow, Docker, Econometrics, Excel, LLM, MLOps, Machine Learning, Model Evaluation, OpenAI API, Python, SQL, Scikit-learn and Statistics. Experience with stakeholder communication, statistical thinking, and business technology tools is preferred.",synthetic_sample,ML Engineer
