column,dtype,missing_count,missing_pct,unique_values
job_id,object,0,0.0,1910
posted_date,datetime64[ns],490,25.65,320
company,object,0,0.0,967
job_title,object,0,0.0,939
location,object,0,0.0,375
employment_type,object,0,0.0,9
experience_level,object,0,0.0,6
salary_min_lpa,float64,480,25.13,67
salary_max_lpa,float64,480,25.13,75
job_description,object,0,0.0,1885
source,object,0,0.0,3
true_role_label,object,1490,78.01,8
experience_source,object,1420,74.35,2
salary_source,object,1420,74.35,3
salary_is_predicted,float64,1420,74.35,1
api_salary_min_raw,float64,1906,99.79,3
api_salary_max_raw,float64,1906,99.79,4
category,float64,1910,100.0,0
source_query,object,1420,74.35,7
source_location,object,1420,74.35,1
redirect_url,object,1420,74.35,490
salary_mid_lpa,float64,480,25.13,140
full_text,object,0,0.0,1890
