location,postings,companies,avg_salary_lpa
Hyderabad,113,48,14.55
Pune,103,56,15.6
Bengaluru,93,64,17.21
Chennai,81,45,14.1
Noida,69,35,15.46
Remote,58,49,15.77
Coimbatore,56,15,14.53
"Bangalore, Karnataka",51,46,
Remote India,41,10,15.79
Mumbai,41,17,16.7
Bangalore,40,10,15.19
India,37,33,5.0
Gurugram,37,36,13.22
Gurgaon,35,10,15.4
Delhi Ncr,35,10,18.71
"Hyderabad, Chennai, Bengaluru",30,12,10.33
"Hyderabad, Telangana",29,24,
Hybrid - Bengaluru,29,24,21.49
Hybrid - Hyderabad,20,12,15.44
Hybrid - Pune,18,14,21.29
"Mumbai, Maharashtra",14,13,
Hybrid - Chennai,12,9,23.23
Ahmedabad,12,11,12.78
"Chennai, Bengaluru",9,7,18.06
"Hybrid - Hyderabad, Chennai, Bengaluru",9,9,19.72
"Chennai, Tamil Nadu",9,8,
"Noida, Ghaziabad",9,9,
"Hyderabad, Pune, Bengaluru",8,8,17.28
"Hyderabad, Bengaluru",8,7,14.27
Navi Mumbai,7,7,7.66
Hybrid - Gurugram,6,6,21.17
Vadodara,6,5,23.03
"Hybrid - Pune, Chennai, Bengaluru",5,5,21.35
"Pune, Bengaluru",5,5,18.3
Mysuru,4,3,19.81
Vijayapura,4,3,22.19
"Hybrid - Noida, Pune, Bengaluru",4,3,15.56
Kochi,4,4,9.81
Narayanpet,4,3,21.25
Jaipur,4,4,5.09
Bidar,4,3,22.19
"Hyderabad, Bengaluru, Mumbai (All Areas)",4,4,20.63
"Hybrid - Bengaluru, Mumbai (All Areas)",4,3,18.5
"Pune, Chennai, Bengaluru",4,4,20.63
Thane,4,4,12.81
"Kochi, Ernakulam",3,3,
Hybrid - Indapur,3,1,16.33
"Gandhinagar, Ahmedabad",3,2,3.83
"Delhi, India",3,3,
Nalgonda,3,3,21.25
Hybrid - Junnar,3,2,19.17
Hybrid - Medak,3,2,18.33
Gandhinagar,3,3,14.67
"Hybrid - Noida, Hyderabad, Bengaluru",3,3,11.42
Udupi,3,3,15.38
"Mumbai, Bengaluru",3,3,12.17
Davangere,3,3,23.33
Greater Noida,3,2,14.92
"Ahmedabad, Gujarat",3,3,
"Thane, Navi Mumbai, Mumbai (All Areas)",3,3,27.92
Hyderabad(Madhapur),3,3,5.33
"Pune, Maharashtra",3,3,
"Pune, Bengaluru, Mumbai (All Areas)",2,2,11.75
Hybrid - Ambegaon,2,1,17.5
"Hybrid - Hyderabad(Gachibowli), Pune(Kharadi), Bengaluru(Electronics City Phase 1)",2,1,30.0
Mangaluru,2,2,13.13
"Hyderabad, Chennai",2,2,15.0
Kolkata,2,2,6.38
Mahabubnagar,2,2,20.0
Hybrid - Velhe,2,1,16.25
"Hybrid - Noida, Gurugram, Delhi / Ncr",2,1,16.0
Chamarajanagar,2,1,21.88
Khammam,2,2,20.0
Hybrid - Mawal,2,1,17.0
Bengaluru(Kadubeesanahalli +1),2,2,43.75
Karimnagar,2,2,20.0
Mancherial,2,1,16.88
"Hybrid - Pune, Bengaluru",2,2,16.38
Noida(Sector 63A),2,2,3.0
Hybrid - Bengaluru(Marathahalli),2,2,15.25
Hybrid - Kolkata,2,2,25.0
Bagalkot,2,2,19.38
Hybrid - Purandhar,2,2,18.75
"Hybrid - Kolkata, Hyderabad, Delhi / Ncr",2,2,26.5
"Pune, Gurugram, Bengaluru",2,2,17.63
Hybrid - Nagarkurnool,2,2,17.5
