job_id,posted_date,company,job_title,location,employment_type,experience_level,salary_min_lpa,salary_max_lpa,job_description,source,true_role_label,experience_source,salary_source,salary_is_predicted,api_salary_min_raw,api_salary_max_raw,category,source_query,source_location,redirect_url,salary_mid_lpa,full_text,extracted_skills,skill_count,skillcat_business_workforce,skillcat_cloud_tools,skillcat_data_engineering,skillcat_machine_learning,skillcat_nlp_genai,skillcat_programming,skillcat_statistics,skillcat_visualization_bi,occupation_family,role_label,occupation_confidence,mapping_method,core_skills_for_role,text_for_model
JOB00001,2024-01-21,PeopleData Systems,Associate Data Scientist,Pune,Full-Time,Associate,10.0,20.0,PeopleData Systems is hiring a Associate Data Scientist in Pune. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Data Visualization LLM Machine Learning Model Evaluation Python SQL Scikit-learn Statistics Tableau and Vector Database. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,synthetic_sample,Data Scientist,,,,,,,,,,15.0,Associate Data Scientist PeopleData Systems is hiring a Associate Data Scientist in Pune. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Data Visualization LLM Machine Learning Model Evaluation Python SQL Scikit-learn Statistics Tableau and Vector Database. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,Business Recommendations|Future of Work|Labor Market Analytics|Stakeholder Communication|Machine Learning|Model Evaluation|Scikit-learn|LLM|Vector Database|Python|SQL|Statistics|Data Visualization|Tableau,14,4,0,0,3,2,2,1,2,Data Science,Data Scientist,0.75,keyword_rules,Python|SQL|Machine Learning|Statistics|Scikit-learn|Model Evaluation|Data Visualization,Associate Data Scientist PeopleData Systems is hiring a Associate Data Scientist in Pune. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Data Visualization LLM Machine Learning Model Evaluation Python SQL Scikit-learn Statistics Tableau and Vector Database. Experience with stakeholder communication statistical thinking and business technology tools is preferred. Business Recommendations Future of Work Labor Market Analytics Stakeholder Communication Machine Learning Model Evaluation Scikit-learn LLM Vector Database Python SQL Statistics Data Visualization Tableau
JOB00002,2024-02-01,TalentGraph AI,Associate Data Engineer,Remote India,Full-Time,Associate,10.0,18.0,TalentGraph AI is hiring a Associate Data Engineer in Remote India. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Airflow Data Engineering Data Warehousing ETL Econometrics Model Evaluation Python SQL Scikit-learn and Spark. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,synthetic_sample,Data Engineer,,,,,,,,,,14.0,Associate Data Engineer TalentGraph AI is hiring a Associate Data Engineer in Remote India. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Airflow Data Engineering Data Warehousing ETL Econometrics Model Evaluation Python SQL Scikit-learn and Spark. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,Business Recommendations|Future of Work|Labor Market Analytics|Stakeholder Communication|Airflow|Data Warehousing|ETL|Spark|Model Evaluation|Scikit-learn|Python|SQL|Econometrics,13,4,0,4,2,0,2,1,0,Data Engineering,Data Engineer,0.95,keyword_rules,SQL|ETL|Spark|Airflow|Data Warehousing|Python|Data Engineering,Associate Data Engineer TalentGraph AI is hiring a Associate Data Engineer in Remote India. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Airflow Data Engineering Data Warehousing ETL Econometrics Model Evaluation Python SQL Scikit-learn and Spark. Experience with stakeholder communication statistical thinking and business technology tools is preferred. Business Recommendations Future of Work Labor Market Analytics Stakeholder Communication Airflow Data Warehousing ETL Spark Model Evaluation Scikit-learn Python SQL Econometrics
JOB00003,2024-03-07,FutureWorks Analytics,Data Engineer,Pune,Internship,Mid,13.0,21.0,FutureWorks Analytics is hiring a Data Engineer in Pune. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Airflow Data Engineering Data Visualization Data Warehousing ETL Econometrics Model Evaluation OpenAI API Python SQL and Spark. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,synthetic_sample,Data Engineer,,,,,,,,,,17.0,Data Engineer FutureWorks Analytics is hiring a Data Engineer in Pune. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Airflow Data Engineering Data Visualization Data Warehousing ETL Econometrics Model Evaluation OpenAI API Python SQL and Spark. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,Business Recommendations|Future of Work|Labor Market Analytics|Stakeholder Communication|Airflow|Data Warehousing|ETL|Spark|Model Evaluation|OpenAI API|APIs|Python|SQL|Econometrics|Data Visualization,15,4,0,4,1,1,3,1,1,Data Engineering,Data Engineer,0.95,keyword_rules,SQL|ETL|Spark|Airflow|Data Warehousing|Python|Data Engineering,Data Engineer FutureWorks Analytics is hiring a Data Engineer in Pune. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Airflow Data Engineering Data Visualization Data Warehousing ETL Econometrics Model Evaluation OpenAI API Python SQL and Spark. Experience with stakeholder communication statistical thinking and business technology tools is preferred. Business Recommendations Future of Work Labor Market Analytics Stakeholder Communication Airflow Data Warehousing ETL Spark Model Evaluation OpenAI API APIs Python SQL Econometrics Data Visualization
JOB00004,2024-04-24,CareerMap Technologies,Associate Data Analyst,Remote India,Contract,Associate,9.0,16.0,CareerMap Technologies is hiring a Associate Data Analyst in Remote India. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Data Visualization ETL Excel KPI Reporting Power BI Python SQL Scikit-learn Statistics Tableau and Vector Database. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,synthetic_sample,Data Analyst,,,,,,,,,,12.5,Associate Data Analyst CareerMap Technologies is hiring a Associate Data Analyst in Remote India. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Data Visualization ETL Excel KPI Reporting Power BI Python SQL Scikit-learn Statistics Tableau and Vector Database. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,Business Recommendations|Future of Work|Labor Market Analytics|Stakeholder Communication|ETL|Scikit-learn|Vector Database|Python|SQL|Statistics|Data Visualization|Excel|KPI Reporting|Power BI|Tableau,15,4,0,1,1,1,2,1,5,Data Analytics,Data Analyst,0.95,keyword_rules,SQL|Excel|Power BI|Tableau|Data Visualization|Statistics|KPI Reporting,Associate Data Analyst CareerMap Technologies is hiring a Associate Data Analyst in Remote India. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Data Visualization ETL Excel KPI Reporting Power BI Python SQL Scikit-learn Statistics Tableau and Vector Database. Experience with stakeholder communication statistical thinking and business technology tools is preferred. Business Recommendations Future of Work Labor Market Analytics Stakeholder Communication ETL Scikit-learn Vector Database Python SQL Statistics Data Visualization Excel KPI Reporting Power BI Tableau
JOB00005,2024-05-21,PeopleData Systems,Associate NLP Engineer,Hyderabad,Full-Time,Associate,11.0,19.0,PeopleData Systems is hiring a Associate NLP Engineer in Hyderabad. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Airflow Econometrics Gemini API Information Extraction LLM Model Evaluation Natural Language Processing OpenAI API Prompt Engineering Python RAG Semantic Search Sentence Transformers Spark and Tableau. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,synthetic_sample,NLP Engineer,,,,,,,,,,15.0,Associate NLP Engineer PeopleData Systems is hiring a Associate NLP Engineer in Hyderabad. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Airflow Econometrics Gemini API Information Extraction LLM Model Evaluation Natural Language Processing OpenAI API Prompt Engineering Python RAG Semantic Search Sentence Transformers Spark and Tableau. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,Business Recommendations|Future of Work|Labor Market Analytics|Stakeholder Communication|Airflow|Spark|Model Evaluation|Gemini API|Information Extraction|LLM|Natural Language Processing|OpenAI API|Prompt Engineering|RAG|Semantic Search|Sentence Transformers|APIs|Python|Econometrics|Tableau,20,4,0,2,1,9,2,1,1,NLP & GenAI,NLP Engineer,0.95,keyword_rules,Natural Language Processing|Information Extraction|Sentence Transformers|RAG|LLM|Semantic Search|Python,Associate NLP Engineer PeopleData Systems is hiring a Associate NLP Engineer in Hyderabad. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Airflow Econometrics Gemini API Information Extraction LLM Model Evaluation Natural Language Processing OpenAI API Prompt Engineering Python RAG Semantic Search Sentence Transformers Spark and Tableau. Experience with stakeholder communication statistical thinking and business technology tools is preferred. Business Recommendations Future of Work Labor Market Analytics Stakeholder Communication Airflow Spark Model Evaluation Gemini API Information Extraction LLM Natural Language Processing OpenAI API Prompt Engineering RAG Semantic Search Sentence Transformers APIs Python Econometrics Tableau
JOB00006,2024-06-03,BrightPath Analytics,ML Engineer,Coimbatore,Internship,Mid,15.0,23.0,BrightPath Analytics is hiring a ML Engineer in Coimbatore. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include APIs Docker ETL LangChain MLOps Machine Learning Model Evaluation Python SQL Scikit-learn and Spark. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,synthetic_sample,ML Engineer,,,,,,,,,,19.0,ML Engineer BrightPath Analytics is hiring a ML Engineer in Coimbatore. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include APIs Docker ETL LangChain MLOps Machine Learning Model Evaluation Python SQL Scikit-learn and Spark. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,Business Recommendations|Future of Work|Labor Market Analytics|Stakeholder Communication|ETL|Spark|MLOps|Machine Learning|Model Evaluation|Scikit-learn|LangChain|APIs|Docker|Python|SQL,15,4,0,2,4,1,4,0,0,Machine Learning Engineering,ML Engineer,0.85,keyword_rules,Python|Machine Learning|MLOps|Docker|APIs|Scikit-learn|Model Evaluation,ML Engineer BrightPath Analytics is hiring a ML Engineer in Coimbatore. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include APIs Docker ETL LangChain MLOps Machine Learning Model Evaluation Python SQL Scikit-learn and Spark. Experience with stakeholder communication statistical thinking and business technology tools is preferred. Business Recommendations Future of Work Labor Market Analytics Stakeholder Communication ETL Spark MLOps Machine Learning Model Evaluation Scikit-learn LangChain APIs Docker Python SQL
JOB00007,2024-07-25,MetroTech Labs,Senior Data Analyst,Mumbai,Full-Time,Senior,20.0,25.0,MetroTech Labs is hiring a Senior Data Analyst in Mumbai. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Data Visualization Econometrics Excel KPI Reporting Machine Learning Power BI SQL Scikit-learn Semantic Search Statistics and Tableau. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,synthetic_sample,Data Analyst,,,,,,,,,,22.5,Senior Data Analyst MetroTech Labs is hiring a Senior Data Analyst in Mumbai. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Data Visualization Econometrics Excel KPI Reporting Machine Learning Power BI SQL Scikit-learn Semantic Search Statistics and Tableau. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,Business Recommendations|Future of Work|Labor Market Analytics|Stakeholder Communication|Machine Learning|Scikit-learn|Semantic Search|SQL|Econometrics|Statistics|Data Visualization|Excel|KPI Reporting|Power BI|Tableau,15,4,0,0,2,1,1,2,5,Data Analytics,Data Analyst,0.95,keyword_rules,SQL|Excel|Power BI|Tableau|Data Visualization|Statistics|KPI Reporting,Senior Data Analyst MetroTech Labs is hiring a Senior Data Analyst in Mumbai. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Data Visualization Econometrics Excel KPI Reporting Machine Learning Power BI SQL Scikit-learn Semantic Search Statistics and Tableau. Experience with stakeholder communication statistical thinking and business technology tools is preferred. Business Recommendations Future of Work Labor Market Analytics Stakeholder Communication Machine Learning Scikit-learn Semantic Search SQL Econometrics Statistics Data Visualization Excel KPI Reporting Power BI Tableau
JOB00008,2024-08-02,BrightPath Analytics,Junior Data Analyst,Bangalore,Full-Time,Entry,5.0,14.0,BrightPath Analytics is hiring a Junior Data Analyst in Bangalore. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Airflow Data Visualization Excel Gemini API KPI Reporting LLM Machine Learning Power BI SQL Statistics and Tableau. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,synthetic_sample,Data Analyst,,,,,,,,,,9.5,Junior Data Analyst BrightPath Analytics is hiring a Junior Data Analyst in Bangalore. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Airflow Data Visualization Excel Gemini API KPI Reporting LLM Machine Learning Power BI SQL Statistics and Tableau. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,Business Recommendations|Future of Work|Labor Market Analytics|Stakeholder Communication|Airflow|Machine Learning|Gemini API|LLM|APIs|SQL|Statistics|Data Visualization|Excel|KPI Reporting|Power BI|Tableau,16,4,0,1,1,2,2,1,5,Data Analytics,Data Analyst,0.95,keyword_rules,SQL|Excel|Power BI|Tableau|Data Visualization|Statistics|KPI Reporting,Junior Data Analyst BrightPath Analytics is hiring a Junior Data Analyst in Bangalore. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Airflow Data Visualization Excel Gemini API KPI Reporting LLM Machine Learning Power BI SQL Statistics and Tableau. Experience with stakeholder communication statistical thinking and business technology tools is preferred. Business Recommendations Future of Work Labor Market Analytics Stakeholder Communication Airflow Machine Learning Gemini API LLM APIs SQL Statistics Data Visualization Excel KPI Reporting Power BI Tableau
JOB00009,2024-09-10,Nexa Workforce,Senior NLP Engineer,Coimbatore,Full-Time,Senior,20.0,28.0,Nexa Workforce is hiring a Senior NLP Engineer in Coimbatore. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Information Extraction LLM Natural Language Processing Prompt Engineering Python RAG SQL Scikit-learn Semantic Search Sentence Transformers Statistics and Vector Database. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,synthetic_sample,NLP Engineer,,,,,,,,,,24.0,Senior NLP Engineer Nexa Workforce is hiring a Senior NLP Engineer in Coimbatore. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Information Extraction LLM Natural Language Processing Prompt Engineering Python RAG SQL Scikit-learn Semantic Search Sentence Transformers Statistics and Vector Database. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,Business Recommendations|Future of Work|Labor Market Analytics|Stakeholder Communication|Scikit-learn|Information Extraction|LLM|Natural Language Processing|Prompt Engineering|RAG|Semantic Search|Sentence Transformers|Vector Database|Python|SQL|Statistics,16,4,0,0,1,8,2,1,0,NLP & GenAI,NLP Engineer,0.95,keyword_rules,Natural Language Processing|Information Extraction|Sentence Transformers|RAG|LLM|Semantic Search|Python,Senior NLP Engineer Nexa Workforce is hiring a Senior NLP Engineer in Coimbatore. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include Information Extraction LLM Natural Language Processing Prompt Engineering Python RAG SQL Scikit-learn Semantic Search Sentence Transformers Statistics and Vector Database. Experience with stakeholder communication statistical thinking and business technology tools is preferred. Business Recommendations Future of Work Labor Market Analytics Stakeholder Communication Scikit-learn Information Extraction LLM Natural Language Processing Prompt Engineering RAG Semantic Search Sentence Transformers Vector Database Python SQL Statistics
JOB00010,2024-10-08,CareerMap Technologies,ML Engineer,Pune,Full-Time,Mid,16.0,25.0,CareerMap Technologies is hiring a ML Engineer in Pune. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include APIs Airflow Docker Econometrics Excel LLM MLOps Machine Learning Model Evaluation OpenAI API Python SQL Scikit-learn and Statistics. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,synthetic_sample,ML Engineer,,,,,,,,,,20.5,ML Engineer CareerMap Technologies is hiring a ML Engineer in Pune. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include APIs Airflow Docker Econometrics Excel LLM MLOps Machine Learning Model Evaluation OpenAI API Python SQL Scikit-learn and Statistics. Experience with stakeholder communication statistical thinking and business technology tools is preferred.,Business Recommendations|Future of Work|Labor Market Analytics|Stakeholder Communication|Airflow|MLOps|Machine Learning|Model Evaluation|Scikit-learn|LLM|OpenAI API|APIs|Docker|Python|SQL|Econometrics|Statistics|Excel,18,4,0,1,4,2,4,2,1,Machine Learning Engineering,ML Engineer,0.95,keyword_rules,Python|Machine Learning|MLOps|Docker|APIs|Scikit-learn|Model Evaluation,ML Engineer CareerMap Technologies is hiring a ML Engineer in Pune. The role works with product data and client teams to solve future of work and labor market analytics problems. Responsibilities include cleaning large datasets building analytical datasets developing models communicating recommendations and creating dashboards. Required skills include APIs Airflow Docker Econometrics Excel LLM MLOps Machine Learning Model Evaluation OpenAI API Python SQL Scikit-learn and Statistics. Experience with stakeholder communication statistical thinking and business technology tools is preferred. Business Recommendations Future of Work Labor Market Analytics Stakeholder Communication Airflow MLOps Machine Learning Model Evaluation Scikit-learn LLM OpenAI API APIs Docker Python SQL Econometrics Statistics Excel
