job_id,posted_date,location,job_title,role_label,skill,month
JOB00001,2024-01-21,Pune,Associate Data Scientist,Data Scientist,Business Recommendations,2024-01
JOB00001,2024-01-21,Pune,Associate Data Scientist,Data Scientist,Future of Work,2024-01
JOB00001,2024-01-21,Pune,Associate Data Scientist,Data Scientist,Labor Market Analytics,2024-01
JOB00001,2024-01-21,Pune,Associate Data Scientist,Data Scientist,Stakeholder Communication,2024-01
JOB00001,2024-01-21,Pune,Associate Data Scientist,Data Scientist,Machine Learning,2024-01
JOB00001,2024-01-21,Pune,Associate Data Scientist,Data Scientist,Model Evaluation,2024-01
JOB00001,2024-01-21,Pune,Associate Data Scientist,Data Scientist,Scikit-learn,2024-01
JOB00001,2024-01-21,Pune,Associate Data Scientist,Data Scientist,LLM,2024-01
JOB00001,2024-01-21,Pune,Associate Data Scientist,Data Scientist,Vector Database,2024-01
JOB00001,2024-01-21,Pune,Associate Data Scientist,Data Scientist,Python,2024-01
JOB00001,2024-01-21,Pune,Associate Data Scientist,Data Scientist,SQL,2024-01
JOB00001,2024-01-21,Pune,Associate Data Scientist,Data Scientist,Statistics,2024-01
JOB00001,2024-01-21,Pune,Associate Data Scientist,Data Scientist,Data Visualization,2024-01
JOB00001,2024-01-21,Pune,Associate Data Scientist,Data Scientist,Tableau,2024-01
JOB00002,2024-02-01,Remote India,Associate Data Engineer,Data Engineer,Business Recommendations,2024-02
JOB00002,2024-02-01,Remote India,Associate Data Engineer,Data Engineer,Future of Work,2024-02
JOB00002,2024-02-01,Remote India,Associate Data Engineer,Data Engineer,Labor Market Analytics,2024-02
JOB00002,2024-02-01,Remote India,Associate Data Engineer,Data Engineer,Stakeholder Communication,2024-02
JOB00002,2024-02-01,Remote India,Associate Data Engineer,Data Engineer,Airflow,2024-02
JOB00002,2024-02-01,Remote India,Associate Data Engineer,Data Engineer,Data Warehousing,2024-02
JOB00002,2024-02-01,Remote India,Associate Data Engineer,Data Engineer,ETL,2024-02
JOB00002,2024-02-01,Remote India,Associate Data Engineer,Data Engineer,Spark,2024-02
JOB00002,2024-02-01,Remote India,Associate Data Engineer,Data Engineer,Model Evaluation,2024-02
JOB00002,2024-02-01,Remote India,Associate Data Engineer,Data Engineer,Scikit-learn,2024-02
JOB00002,2024-02-01,Remote India,Associate Data Engineer,Data Engineer,Python,2024-02
JOB00002,2024-02-01,Remote India,Associate Data Engineer,Data Engineer,SQL,2024-02
JOB00002,2024-02-01,Remote India,Associate Data Engineer,Data Engineer,Econometrics,2024-02
JOB00003,2024-03-07,Pune,Data Engineer,Data Engineer,Business Recommendations,2024-03
JOB00003,2024-03-07,Pune,Data Engineer,Data Engineer,Future of Work,2024-03
JOB00003,2024-03-07,Pune,Data Engineer,Data Engineer,Labor Market Analytics,2024-03
JOB00003,2024-03-07,Pune,Data Engineer,Data Engineer,Stakeholder Communication,2024-03
JOB00003,2024-03-07,Pune,Data Engineer,Data Engineer,Airflow,2024-03
JOB00003,2024-03-07,Pune,Data Engineer,Data Engineer,Data Warehousing,2024-03
JOB00003,2024-03-07,Pune,Data Engineer,Data Engineer,ETL,2024-03
JOB00003,2024-03-07,Pune,Data Engineer,Data Engineer,Spark,2024-03
JOB00003,2024-03-07,Pune,Data Engineer,Data Engineer,Model Evaluation,2024-03
JOB00003,2024-03-07,Pune,Data Engineer,Data Engineer,OpenAI API,2024-03
JOB00003,2024-03-07,Pune,Data Engineer,Data Engineer,APIs,2024-03
JOB00003,2024-03-07,Pune,Data Engineer,Data Engineer,Python,2024-03
JOB00003,2024-03-07,Pune,Data Engineer,Data Engineer,SQL,2024-03
JOB00003,2024-03-07,Pune,Data Engineer,Data Engineer,Econometrics,2024-03
JOB00003,2024-03-07,Pune,Data Engineer,Data Engineer,Data Visualization,2024-03
JOB00004,2024-04-24,Remote India,Associate Data Analyst,Data Analyst,Business Recommendations,2024-04
JOB00004,2024-04-24,Remote India,Associate Data Analyst,Data Analyst,Future of Work,2024-04
JOB00004,2024-04-24,Remote India,Associate Data Analyst,Data Analyst,Labor Market Analytics,2024-04
JOB00004,2024-04-24,Remote India,Associate Data Analyst,Data Analyst,Stakeholder Communication,2024-04
JOB00004,2024-04-24,Remote India,Associate Data Analyst,Data Analyst,ETL,2024-04
JOB00004,2024-04-24,Remote India,Associate Data Analyst,Data Analyst,Scikit-learn,2024-04
JOB00004,2024-04-24,Remote India,Associate Data Analyst,Data Analyst,Vector Database,2024-04
JOB00004,2024-04-24,Remote India,Associate Data Analyst,Data Analyst,Python,2024-04
JOB00004,2024-04-24,Remote India,Associate Data Analyst,Data Analyst,SQL,2024-04
JOB00004,2024-04-24,Remote India,Associate Data Analyst,Data Analyst,Statistics,2024-04
JOB00004,2024-04-24,Remote India,Associate Data Analyst,Data Analyst,Data Visualization,2024-04
JOB00004,2024-04-24,Remote India,Associate Data Analyst,Data Analyst,Excel,2024-04
JOB00004,2024-04-24,Remote India,Associate Data Analyst,Data Analyst,KPI Reporting,2024-04
JOB00004,2024-04-24,Remote India,Associate Data Analyst,Data Analyst,Power BI,2024-04
JOB00004,2024-04-24,Remote India,Associate Data Analyst,Data Analyst,Tableau,2024-04
JOB00005,2024-05-21,Hyderabad,Associate NLP Engineer,NLP Engineer,Business Recommendations,2024-05
JOB00005,2024-05-21,Hyderabad,Associate NLP Engineer,NLP Engineer,Future of Work,2024-05
JOB00005,2024-05-21,Hyderabad,Associate NLP Engineer,NLP Engineer,Labor Market Analytics,2024-05
JOB00005,2024-05-21,Hyderabad,Associate NLP Engineer,NLP Engineer,Stakeholder Communication,2024-05
JOB00005,2024-05-21,Hyderabad,Associate NLP Engineer,NLP Engineer,Airflow,2024-05
JOB00005,2024-05-21,Hyderabad,Associate NLP Engineer,NLP Engineer,Spark,2024-05
JOB00005,2024-05-21,Hyderabad,Associate NLP Engineer,NLP Engineer,Model Evaluation,2024-05
