skill,forecast_month,forecast_mentions,model_mae,optimization_objective,forecast_method,scipy_function
SQL,2026-06,277.8,1.524,3.3161,scipy_optimized_regression_with_lags,scipy.optimize.minimize
SQL,2026-07,534.36,1.524,3.3161,scipy_optimized_regression_with_lags,scipy.optimize.minimize
SQL,2026-08,996.82,1.524,3.3161,scipy_optimized_regression_with_lags,scipy.optimize.minimize
SQL,2026-09,1426.87,1.524,3.3161,scipy_optimized_regression_with_lags,scipy.optimize.minimize
SQL,2026-10,2388.08,1.524,3.3161,scipy_optimized_regression_with_lags,scipy.optimize.minimize
SQL,2026-11,3894.13,1.524,3.3161,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Python,2026-06,354.95,1.709,4.6653,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Python,2026-07,783.33,1.709,4.6653,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Python,2026-08,1552.47,1.709,4.6653,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Python,2026-09,2838.44,1.709,4.6653,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Python,2026-10,5495.69,1.709,4.6653,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Python,2026-11,10494.06,1.709,4.6653,scipy_optimized_regression_with_lags,scipy.optimize.minimize
APIs,2026-06,66.87,0.582,0.7426,scipy_optimized_regression_with_lags,scipy.optimize.minimize
APIs,2026-07,73.13,0.582,0.7426,scipy_optimized_regression_with_lags,scipy.optimize.minimize
APIs,2026-08,240.76,0.582,0.7426,scipy_optimized_regression_with_lags,scipy.optimize.minimize
APIs,2026-09,141.28,0.582,0.7426,scipy_optimized_regression_with_lags,scipy.optimize.minimize
APIs,2026-10,158.34,0.582,0.7426,scipy_optimized_regression_with_lags,scipy.optimize.minimize
APIs,2026-11,308.05,0.582,0.7426,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Business Recommendations,2026-06,14.42,0.088,0.0423,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Business Recommendations,2026-07,14.56,0.088,0.0423,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Business Recommendations,2026-08,14.76,0.088,0.0423,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Business Recommendations,2026-09,14.68,0.088,0.0423,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Business Recommendations,2026-10,14.78,0.088,0.0423,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Business Recommendations,2026-11,14.86,0.088,0.0423,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Labor Market Analytics,2026-06,14.42,0.088,0.0423,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Labor Market Analytics,2026-07,14.56,0.088,0.0423,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Labor Market Analytics,2026-08,14.76,0.088,0.0423,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Labor Market Analytics,2026-09,14.68,0.088,0.0423,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Labor Market Analytics,2026-10,14.78,0.088,0.0423,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Labor Market Analytics,2026-11,14.86,0.088,0.0423,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Future of Work,2026-06,13.91,0.076,0.0255,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Future of Work,2026-07,13.87,0.076,0.0255,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Future of Work,2026-08,13.83,0.076,0.0255,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Future of Work,2026-09,13.77,0.076,0.0255,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Future of Work,2026-10,13.73,0.076,0.0255,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Future of Work,2026-11,13.68,0.076,0.0255,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Stakeholder Communication,2026-06,13.91,0.076,0.0255,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Stakeholder Communication,2026-07,13.87,0.076,0.0255,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Stakeholder Communication,2026-08,13.83,0.076,0.0255,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Stakeholder Communication,2026-09,13.77,0.076,0.0255,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Stakeholder Communication,2026-10,13.73,0.076,0.0255,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Stakeholder Communication,2026-11,13.68,0.076,0.0255,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Machine Learning,2026-06,58.51,1.201,2.8039,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Machine Learning,2026-07,104.55,1.201,2.8039,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Machine Learning,2026-08,181.57,1.201,2.8039,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Machine Learning,2026-09,218.14,1.201,2.8039,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Machine Learning,2026-10,338.55,1.201,2.8039,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Machine Learning,2026-11,499.5,1.201,2.8039,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Data Visualization,2026-06,25.04,1.013,1.5279,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Data Visualization,2026-07,34.56,1.013,1.5279,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Data Visualization,2026-08,55.3,1.013,1.5279,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Data Visualization,2026-09,62.84,1.013,1.5279,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Data Visualization,2026-10,87.75,1.013,1.5279,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Data Visualization,2026-11,121.6,1.013,1.5279,scipy_optimized_regression_with_lags,scipy.optimize.minimize
LLM,2026-06,18.92,1.097,2.6893,scipy_optimized_regression_with_lags,scipy.optimize.minimize
LLM,2026-07,21.39,1.097,2.6893,scipy_optimized_regression_with_lags,scipy.optimize.minimize
LLM,2026-08,37.26,1.097,2.6893,scipy_optimized_regression_with_lags,scipy.optimize.minimize
LLM,2026-09,28.57,1.097,2.6893,scipy_optimized_regression_with_lags,scipy.optimize.minimize
LLM,2026-10,31.56,1.097,2.6893,scipy_optimized_regression_with_lags,scipy.optimize.minimize
LLM,2026-11,43.61,1.097,2.6893,scipy_optimized_regression_with_lags,scipy.optimize.minimize
RAG,2026-06,16.01,0.936,1.5854,scipy_optimized_regression_with_lags,scipy.optimize.minimize
RAG,2026-07,16.4,0.936,1.5854,scipy_optimized_regression_with_lags,scipy.optimize.minimize
RAG,2026-08,22.94,0.936,1.5854,scipy_optimized_regression_with_lags,scipy.optimize.minimize
RAG,2026-09,19.61,0.936,1.5854,scipy_optimized_regression_with_lags,scipy.optimize.minimize
RAG,2026-10,19.75,0.936,1.5854,scipy_optimized_regression_with_lags,scipy.optimize.minimize
RAG,2026-11,23.8,0.936,1.5854,scipy_optimized_regression_with_lags,scipy.optimize.minimize
ETL,2026-06,36.44,1.64,5.3329,scipy_optimized_regression_with_lags,scipy.optimize.minimize
ETL,2026-07,67.84,1.64,5.3329,scipy_optimized_regression_with_lags,scipy.optimize.minimize
ETL,2026-08,129.42,1.64,5.3329,scipy_optimized_regression_with_lags,scipy.optimize.minimize
ETL,2026-09,107.25,1.64,5.3329,scipy_optimized_regression_with_lags,scipy.optimize.minimize
ETL,2026-10,164.1,1.64,5.3329,scipy_optimized_regression_with_lags,scipy.optimize.minimize
ETL,2026-11,227.06,1.64,5.3329,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Statistics,2026-06,15.06,0.943,1.6298,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Statistics,2026-07,15.07,0.943,1.6298,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Statistics,2026-08,27.96,0.943,1.6298,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Statistics,2026-09,26.52,0.943,1.6298,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Statistics,2026-10,31.5,0.943,1.6298,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Statistics,2026-11,44.8,0.943,1.6298,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Excel,2026-06,18.87,0.901,1.4595,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Excel,2026-07,22.85,0.901,1.4595,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Excel,2026-08,66.27,0.901,1.4595,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Excel,2026-09,38.2,0.901,1.4595,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Excel,2026-10,47.11,0.901,1.4595,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Excel,2026-11,84.5,0.901,1.4595,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Prompt Engineering,2026-06,8.26,0.226,0.2293,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Prompt Engineering,2026-07,7.19,0.226,0.2293,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Prompt Engineering,2026-08,14.84,0.226,0.2293,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Prompt Engineering,2026-09,8.52,0.226,0.2293,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Prompt Engineering,2026-10,7.4,0.226,0.2293,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Prompt Engineering,2026-11,14.71,0.226,0.2293,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Spark,2026-06,35.57,0.985,1.8135,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Spark,2026-07,54.68,0.985,1.8135,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Spark,2026-08,116.2,0.985,1.8135,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Spark,2026-09,103.74,0.985,1.8135,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Spark,2026-10,146.69,0.985,1.8135,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Spark,2026-11,218.29,0.985,1.8135,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Power BI,2026-06,30.1,1.184,2.8559,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Power BI,2026-07,45.47,1.184,2.8559,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Power BI,2026-08,97.45,1.184,2.8559,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Power BI,2026-09,77.84,1.184,2.8559,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Power BI,2026-10,108.79,1.184,2.8559,scipy_optimized_regression_with_lags,scipy.optimize.minimize
Power BI,2026-11,160.36,1.184,2.8559,scipy_optimized_regression_with_lags,scipy.optimize.minimize
