month,skill,mentions,month_index,rolling_3m,rolling_6m,pct_change_3m
2024-01-01,APIs,3,0,3.0,3.0,0.0
2024-01-01,AWS,0,0,0.0,0.0,0.0
2024-01-01,Agile,0,0,0.0,0.0,0.0
2024-01-01,Airflow,5,0,5.0,5.0,0.0
2024-01-01,Azure,0,0,0.0,0.0,0.0
2024-01-01,Bash,0,0,0.0,0.0,0.0
2024-01-01,BigQuery,0,0,0.0,0.0,0.0
2024-01-01,Business Recommendations,15,0,15.0,15.0,0.0
2024-01-01,CI/CD,0,0,0.0,0.0,0.0
2024-01-01,Causal Inference,0,0,0.0,0.0,0.0
2024-01-01,Classification,0,0,0.0,0.0,0.0
2024-01-01,Clustering,0,0,0.0,0.0,0.0
2024-01-01,Compensation Analytics,0,0,0.0,0.0,0.0
2024-01-01,Dashboarding,0,0,0.0,0.0,0.0
2024-01-01,Data Visualization,9,0,9.0,9.0,0.0
2024-01-01,Data Warehousing,3,0,3.0,3.0,0.0
2024-01-01,Databricks,0,0,0.0,0.0,0.0
2024-01-01,Docker,3,0,3.0,3.0,0.0
2024-01-01,ETL,8,0,8.0,8.0,0.0
2024-01-01,Econometrics,5,0,5.0,5.0,0.0
2024-01-01,Economic Analysis,1,0,1.0,1.0,0.0
2024-01-01,Excel,4,0,4.0,4.0,0.0
2024-01-01,FastAPI,0,0,0.0,0.0,0.0
2024-01-01,Feature Engineering,0,0,0.0,0.0,0.0
2024-01-01,Future of Work,15,0,15.0,15.0,0.0
2024-01-01,GCP,0,0,0.0,0.0,0.0
2024-01-01,Gemini API,0,0,0.0,0.0,0.0
2024-01-01,Git,0,0,0.0,0.0,0.0
2024-01-01,Hypothesis Testing,0,0,0.0,0.0,0.0
2024-01-01,Information Extraction,4,0,4.0,4.0,0.0
2024-01-01,Java,0,0,0.0,0.0,0.0
2024-01-01,Jira,0,0,0.0,0.0,0.0
2024-01-01,KPI Reporting,1,0,1.0,1.0,0.0
2024-01-01,Kafka,0,0,0.0,0.0,0.0
2024-01-01,Kubernetes,0,0,0.0,0.0,0.0
2024-01-01,LLM,6,0,6.0,6.0,0.0
2024-01-01,Labor Market Analytics,15,0,15.0,15.0,0.0
2024-01-01,LangChain,0,0,0.0,0.0,0.0
2024-01-01,Linux,0,0,0.0,0.0,0.0
2024-01-01,LlamaIndex,0,0,0.0,0.0,0.0
2024-01-01,MLOps,3,0,3.0,3.0,0.0
2024-01-01,Machine Learning,8,0,8.0,8.0,0.0
2024-01-01,Market Research,1,0,1.0,1.0,0.0
2024-01-01,Matplotlib,0,0,0.0,0.0,0.0
2024-01-01,Model Evaluation,11,0,11.0,11.0,0.0
2024-01-01,MySQL,0,0,0.0,0.0,0.0
2024-01-01,Named Entity Recognition,0,0,0.0,0.0,0.0
2024-01-01,Natural Language Processing,4,0,4.0,4.0,0.0
2024-01-01,OpenAI API,0,0,0.0,0.0,0.0
2024-01-01,Plotly,0,0,0.0,0.0,0.0
2024-01-01,PostgreSQL,0,0,0.0,0.0,0.0
2024-01-01,Power BI,6,0,6.0,6.0,0.0
2024-01-01,Probability,0,0,0.0,0.0,0.0
2024-01-01,Prompt Engineering,1,0,1.0,1.0,0.0
2024-01-01,PySpark,0,0,0.0,0.0,0.0
2024-01-01,Python,14,0,14.0,14.0,0.0
2024-01-01,R,0,0,0.0,0.0,0.0
2024-01-01,RAG,5,0,5.0,5.0,0.0
2024-01-01,Random Forest,0,0,0.0,0.0,0.0
2024-01-01,Regression,0,0,0.0,0.0,0.0
2024-01-01,Regression Analysis,0,0,0.0,0.0,0.0
2024-01-01,SQL,12,0,12.0,12.0,0.0
2024-01-01,Scala,0,0,0.0,0.0,0.0
2024-01-01,Scikit-learn,8,0,8.0,8.0,0.0
2024-01-01,Seaborn,0,0,0.0,0.0,0.0
2024-01-01,Semantic Search,5,0,5.0,5.0,0.0
2024-01-01,Sentence Transformers,4,0,4.0,4.0,0.0
2024-01-01,Snowflake,0,0,0.0,0.0,0.0
2024-01-01,Spark,5,0,5.0,5.0,0.0
2024-01-01,Stakeholder Communication,15,0,15.0,15.0,0.0
2024-01-01,Statistics,6,0,6.0,6.0,0.0
2024-01-01,Streamlit,0,0,0.0,0.0,0.0
2024-01-01,Tableau,4,0,4.0,4.0,0.0
2024-01-01,Text Classification,0,0,0.0,0.0,0.0
2024-01-01,Time Series,0,0,0.0,0.0,0.0
2024-01-01,Vector Database,2,0,2.0,2.0,0.0
2024-01-01,Workforce Planning,0,0,0.0,0.0,0.0
2024-01-01,XGBoost,0,0,0.0,0.0,0.0
2024-01-01,dbt,0,0,0.0,0.0,0.0
2024-02-01,APIs,4,1,3.5,3.5,0.0
2024-02-01,AWS,0,1,0.0,0.0,0.0
2024-02-01,Agile,0,1,0.0,0.0,0.0
2024-02-01,Airflow,5,1,5.0,5.0,0.0
2024-02-01,Azure,0,1,0.0,0.0,0.0
2024-02-01,Bash,0,1,0.0,0.0,0.0
2024-02-01,BigQuery,0,1,0.0,0.0,0.0
2024-02-01,Business Recommendations,15,1,15.0,15.0,0.0
2024-02-01,CI/CD,0,1,0.0,0.0,0.0
2024-02-01,Causal Inference,0,1,0.0,0.0,0.0
2024-02-01,Classification,0,1,0.0,0.0,0.0
2024-02-01,Clustering,0,1,0.0,0.0,0.0
2024-02-01,Compensation Analytics,0,1,0.0,0.0,0.0
2024-02-01,Dashboarding,0,1,0.0,0.0,0.0
2024-02-01,Data Visualization,12,1,10.5,10.5,0.0
2024-02-01,Data Warehousing,3,1,3.0,3.0,0.0
2024-02-01,Databricks,0,1,0.0,0.0,0.0
2024-02-01,Docker,1,1,2.0,2.0,0.0
2024-02-01,ETL,7,1,7.5,7.5,0.0
2024-02-01,Econometrics,7,1,6.0,6.0,0.0
2024-02-01,Economic Analysis,2,1,1.5,1.5,0.0
2024-02-01,Excel,8,1,6.0,6.0,0.0
2024-02-01,FastAPI,0,1,0.0,0.0,0.0
2024-02-01,Feature Engineering,0,1,0.0,0.0,0.0
2024-02-01,Future of Work,15,1,15.0,15.0,0.0
2024-02-01,GCP,0,1,0.0,0.0,0.0
2024-02-01,Gemini API,2,1,1.0,1.0,0.0
2024-02-01,Git,0,1,0.0,0.0,0.0
2024-02-01,Hypothesis Testing,0,1,0.0,0.0,0.0
2024-02-01,Information Extraction,2,1,3.0,3.0,0.0
2024-02-01,Java,0,1,0.0,0.0,0.0
2024-02-01,Jira,0,1,0.0,0.0,0.0
2024-02-01,KPI Reporting,5,1,3.0,3.0,0.0
2024-02-01,Kafka,0,1,0.0,0.0,0.0
2024-02-01,Kubernetes,0,1,0.0,0.0,0.0
2024-02-01,LLM,3,1,4.5,4.5,0.0
2024-02-01,Labor Market Analytics,15,1,15.0,15.0,0.0
2024-02-01,LangChain,1,1,0.5,0.5,0.0
2024-02-01,Linux,0,1,0.0,0.0,0.0
2024-02-01,LlamaIndex,0,1,0.0,0.0,0.0
2024-02-01,MLOps,1,1,2.0,2.0,0.0
2024-02-01,Machine Learning,7,1,7.5,7.5,0.0
2024-02-01,Market Research,2,1,1.5,1.5,0.0
2024-02-01,Matplotlib,0,1,0.0,0.0,0.0
2024-02-01,Model Evaluation,6,1,8.5,8.5,0.0
2024-02-01,MySQL,0,1,0.0,0.0,0.0
2024-02-01,Named Entity Recognition,0,1,0.0,0.0,0.0
2024-02-01,Natural Language Processing,2,1,3.0,3.0,0.0
2024-02-01,OpenAI API,1,1,0.5,0.5,0.0
2024-02-01,Plotly,0,1,0.0,0.0,0.0
2024-02-01,PostgreSQL,0,1,0.0,0.0,0.0
2024-02-01,Power BI,5,1,5.5,5.5,0.0
2024-02-01,Probability,0,1,0.0,0.0,0.0
2024-02-01,Prompt Engineering,1,1,1.0,1.0,0.0
2024-02-01,PySpark,0,1,0.0,0.0,0.0
2024-02-01,Python,11,1,12.5,12.5,0.0
2024-02-01,R,0,1,0.0,0.0,0.0
2024-02-01,RAG,2,1,3.5,3.5,0.0
2024-02-01,Random Forest,0,1,0.0,0.0,0.0
2024-02-01,Regression,0,1,0.0,0.0,0.0
2024-02-01,Regression Analysis,0,1,0.0,0.0,0.0
2024-02-01,SQL,13,1,12.5,12.5,0.0
2024-02-01,Scala,0,1,0.0,0.0,0.0
2024-02-01,Scikit-learn,7,1,7.5,7.5,0.0
2024-02-01,Seaborn,0,1,0.0,0.0,0.0
2024-02-01,Semantic Search,3,1,4.0,4.0,0.0
2024-02-01,Sentence Transformers,2,1,3.0,3.0,0.0
2024-02-01,Snowflake,0,1,0.0,0.0,0.0
2024-02-01,Spark,8,1,6.5,6.5,0.0
2024-02-01,Stakeholder Communication,15,1,15.0,15.0,0.0
2024-02-01,Statistics,7,1,6.5,6.5,0.0
2024-02-01,Streamlit,0,1,0.0,0.0,0.0
2024-02-01,Tableau,5,1,4.5,4.5,0.0
2024-02-01,Text Classification,0,1,0.0,0.0,0.0
2024-02-01,Time Series,0,1,0.0,0.0,0.0
2024-02-01,Vector Database,0,1,1.0,1.0,0.0
2024-02-01,Workforce Planning,0,1,0.0,0.0,0.0
2024-02-01,XGBoost,0,1,0.0,0.0,0.0
2024-02-01,dbt,0,1,0.0,0.0,0.0
2024-03-01,APIs,6,2,4.333333333333333,4.333333333333333,0.0
2024-03-01,AWS,0,2,0.0,0.0,0.0
2024-03-01,Agile,0,2,0.0,0.0,0.0
2024-03-01,Airflow,6,2,5.333333333333333,5.333333333333333,0.0
2024-03-01,Azure,0,2,0.0,0.0,0.0
2024-03-01,Bash,0,2,0.0,0.0,0.0
2024-03-01,BigQuery,0,2,0.0,0.0,0.0
2024-03-01,Business Recommendations,15,2,15.0,15.0,0.0
2024-03-01,CI/CD,0,2,0.0,0.0,0.0
2024-03-01,Causal Inference,0,2,0.0,0.0,0.0
2024-03-01,Classification,0,2,0.0,0.0,0.0
2024-03-01,Clustering,0,2,0.0,0.0,0.0
2024-03-01,Compensation Analytics,0,2,0.0,0.0,0.0
2024-03-01,Dashboarding,0,2,0.0,0.0,0.0
2024-03-01,Data Visualization,14,2,11.666666666666666,11.666666666666666,0.0
2024-03-01,Data Warehousing,1,2,2.3333333333333335,2.3333333333333335,0.0
2024-03-01,Databricks,0,2,0.0,0.0,0.0
2024-03-01,Docker,1,2,1.6666666666666667,1.6666666666666667,0.0
2024-03-01,ETL,2,2,5.666666666666667,5.666666666666667,0.0
2024-03-01,Econometrics,10,2,7.333333333333333,7.333333333333333,0.0
2024-03-01,Economic Analysis,3,2,2.0,2.0,0.0
2024-03-01,Excel,6,2,6.0,6.0,0.0
2024-03-01,FastAPI,0,2,0.0,0.0,0.0
2024-03-01,Feature Engineering,0,2,0.0,0.0,0.0
2024-03-01,Future of Work,15,2,15.0,15.0,0.0
2024-03-01,GCP,0,2,0.0,0.0,0.0
2024-03-01,Gemini API,2,2,1.3333333333333333,1.3333333333333333,0.0
2024-03-01,Git,0,2,0.0,0.0,0.0
2024-03-01,Hypothesis Testing,0,2,0.0,0.0,0.0
2024-03-01,Information Extraction,0,2,2.0,2.0,0.0
2024-03-01,Java,0,2,0.0,0.0,0.0
2024-03-01,Jira,0,2,0.0,0.0,0.0
2024-03-01,KPI Reporting,5,2,3.6666666666666665,3.6666666666666665,0.0
2024-03-01,Kafka,0,2,0.0,0.0,0.0
2024-03-01,Kubernetes,0,2,0.0,0.0,0.0
2024-03-01,LLM,3,2,4.0,4.0,0.0
2024-03-01,Labor Market Analytics,15,2,15.0,15.0,0.0
2024-03-01,LangChain,1,2,0.6666666666666666,0.6666666666666666,0.0
2024-03-01,Linux,0,2,0.0,0.0,0.0
2024-03-01,LlamaIndex,0,2,0.0,0.0,0.0
2024-03-01,MLOps,1,2,1.6666666666666667,1.6666666666666667,0.0
2024-03-01,Machine Learning,10,2,8.333333333333334,8.333333333333334,0.0
2024-03-01,Market Research,3,2,2.0,2.0,0.0
2024-03-01,Matplotlib,0,2,0.0,0.0,0.0
2024-03-01,Model Evaluation,9,2,8.666666666666666,8.666666666666666,0.0
2024-03-01,MySQL,0,2,0.0,0.0,0.0
2024-03-01,Named Entity Recognition,0,2,0.0,0.0,0.0
2024-03-01,Natural Language Processing,0,2,2.0,2.0,0.0
2024-03-01,OpenAI API,3,2,1.3333333333333333,1.3333333333333333,0.0
2024-03-01,Plotly,0,2,0.0,0.0,0.0
2024-03-01,PostgreSQL,0,2,0.0,0.0,0.0
2024-03-01,Power BI,8,2,6.333333333333333,6.333333333333333,0.0
2024-03-01,Probability,0,2,0.0,0.0,0.0
2024-03-01,Prompt Engineering,0,2,0.6666666666666666,0.6666666666666666,0.0
2024-03-01,PySpark,0,2,0.0,0.0,0.0
2024-03-01,Python,8,2,11.0,11.0,0.0
2024-03-01,R,0,2,0.0,0.0,0.0
2024-03-01,RAG,3,2,3.3333333333333335,3.3333333333333335,0.0
2024-03-01,Random Forest,0,2,0.0,0.0,0.0
2024-03-01,Regression,0,2,0.0,0.0,0.0
2024-03-01,Regression Analysis,0,2,0.0,0.0,0.0
2024-03-01,SQL,14,2,13.0,13.0,0.0
2024-03-01,Scala,0,2,0.0,0.0,0.0
2024-03-01,Scikit-learn,9,2,8.0,8.0,0.0
2024-03-01,Seaborn,0,2,0.0,0.0,0.0
2024-03-01,Semantic Search,1,2,3.0,3.0,0.0
2024-03-01,Sentence Transformers,0,2,2.0,2.0,0.0
2024-03-01,Snowflake,0,2,0.0,0.0,0.0
2024-03-01,Spark,4,2,5.666666666666667,5.666666666666667,0.0
2024-03-01,Stakeholder Communication,15,2,15.0,15.0,0.0
2024-03-01,Statistics,13,2,8.666666666666666,8.666666666666666,0.0
2024-03-01,Streamlit,0,2,0.0,0.0,0.0
2024-03-01,Tableau,7,2,5.333333333333333,5.333333333333333,0.0
2024-03-01,Text Classification,0,2,0.0,0.0,0.0
2024-03-01,Time Series,0,2,0.0,0.0,0.0
2024-03-01,Vector Database,1,2,1.0,1.0,0.0
2024-03-01,Workforce Planning,0,2,0.0,0.0,0.0
2024-03-01,XGBoost,0,2,0.0,0.0,0.0
2024-03-01,dbt,0,2,0.0,0.0,0.0
2024-04-01,APIs,7,3,5.666666666666667,5.0,0.8888888888888891
2024-04-01,AWS,0,3,0.0,0.0,0.0
2024-04-01,Agile,0,3,0.0,0.0,0.0
2024-04-01,Airflow,6,3,5.666666666666667,5.5,0.1333333333333333
2024-04-01,Azure,0,3,0.0,0.0,0.0
2024-04-01,Bash,0,3,0.0,0.0,0.0
2024-04-01,BigQuery,0,3,0.0,0.0,0.0
2024-04-01,Business Recommendations,15,3,15.0,15.0,0.0
2024-04-01,CI/CD,0,3,0.0,0.0,0.0
2024-04-01,Causal Inference,0,3,0.0,0.0,0.0
2024-04-01,Classification,0,3,0.0,0.0,0.0
2024-04-01,Clustering,0,3,0.0,0.0,0.0
2024-04-01,Compensation Analytics,0,3,0.0,0.0,0.0
2024-04-01,Dashboarding,0,3,0.0,0.0,0.0
2024-04-01,Data Visualization,12,3,12.666666666666666,11.75,0.40740740740740744
2024-04-01,Data Warehousing,3,3,2.3333333333333335,2.5,-0.2222222222222222
2024-04-01,Databricks,0,3,0.0,0.0,0.0
2024-04-01,Docker,3,3,1.6666666666666667,2.0,-0.4444444444444444
2024-04-01,ETL,6,3,5.0,5.75,-0.375
2024-04-01,Econometrics,3,3,6.666666666666667,6.25,0.3333333333333335
2024-04-01,Economic Analysis,2,3,2.3333333333333335,2.0,1.3333333333333335
2024-04-01,Excel,7,3,7.0,6.25,0.75
2024-04-01,FastAPI,0,3,0.0,0.0,0.0
2024-04-01,Feature Engineering,0,3,0.0,0.0,0.0
2024-04-01,Future of Work,15,3,15.0,15.0,0.0
2024-04-01,GCP,0,3,0.0,0.0,0.0
2024-04-01,Gemini API,2,3,2.0,1.5,0.0
2024-04-01,Git,0,3,0.0,0.0,0.0
2024-04-01,Hypothesis Testing,0,3,0.0,0.0,0.0
2024-04-01,Information Extraction,0,3,0.6666666666666666,1.5,-0.8333333333333334
2024-04-01,Java,0,3,0.0,0.0,0.0
2024-04-01,Jira,0,3,0.0,0.0,0.0
