location,skill,mentions
"Adampur, Punjab",KPI Reporting,1
Adilabad,AWS,2
Adilabad,Kafka,2
Adilabad,Java,1
Adilabad,APIs,1
Adilabad,Azure,1
Adilabad,ETL,1
Adilabad,CI/CD,1
Adilabad,Scala,1
Adilabad,GCP,1
Adilabad,Data Warehousing,1
Ahmedabad,SQL,4
Ahmedabad,APIs,3
Ahmedabad,Machine Learning,3
Ahmedabad,Python,3
Ahmedabad,GCP,2
Ahmedabad,Kubernetes,2
Ahmedabad,Azure,2
Ahmedabad,MLOps,1
Ahmedabad,KPI Reporting,1
Ahmedabad,Java,1
Ahmedabad(Bopal +2),APIs,1
"Ahmedabad, Bengaluru, Delhi / Ncr, Mumbai (All Areas)",Azure,1
"Ahmedabad, Chennai, Bengaluru",Java,1
"Ahmedabad, Chennai, Bengaluru",Python,1
Ankleshwar,R,1
Ankleshwar,Python,1
Bagalkot,Kafka,1
Bagalkot,Java,1
Bagalkot,SQL,1
Bagalkot,Scala,1
Bagalkot,ETL,1
Bagalkot,Git,1
Bagalkot,Spark,1
Bagalkot,Data Warehousing,1
Bagalkot,AWS,1
Bangalore,Labor Market Analytics,40
Bangalore,Business Recommendations,40
Bangalore,Stakeholder Communication,40
Bangalore,Future of Work,40
Bangalore,Python,30
Bangalore,SQL,28
Bangalore,Data Visualization,27
Bangalore,APIs,26
Bangalore,Statistics,26
Bangalore,ETL,23
Bangalore Rural,Scala,1
Bangalore Rural,Spark,1
Bangalore Rural,Data Warehousing,1
Bangalore Rural,ETL,1
Bangalore Rural,AWS,1
Bangalore Rural,Kafka,1
"Bangalore Rural, Bengaluru(Kengeri)",Power BI,1
"Bangalore Rural, Bengaluru(Kengeri)",Excel,1
"Bangalore Rural, Bengaluru(Kengeri)",Dashboarding,1
"Bangalore, Karnataka",Machine Learning,22
"Bangalore, Karnataka",Python,9
"Bangalore, Karnataka",RAG,7
"Bangalore, Karnataka",SQL,7
"Bangalore, Karnataka",Natural Language Processing,7
"Bangalore, Karnataka",Azure,5
"Bangalore, Karnataka",Databricks,5
"Bangalore, Karnataka",KPI Reporting,4
"Bangalore, Karnataka",Spark,3
"Bangalore, Karnataka",GCP,3
Baramati,AWS,1
Baramati,Spark,1
Baramati,Kafka,1
Baramati,Scala,1
Baramati,ETL,1
Baramati,Data Warehousing,1
Bengaluru,SQL,42
Bengaluru,Python,30
Bengaluru,Azure,23
Bengaluru,AWS,22
Bengaluru,Java,16
Bengaluru,APIs,15
Bengaluru,Git,10
Bengaluru,ETL,9
Bengaluru,Agile,8
Bengaluru,GCP,8
Bengaluru(Electronic City Phase 2),Machine Learning,1
Bengaluru(Halasuru),SQL,1
Bengaluru(Halasuru),MySQL,1
Bengaluru(Halasuru),Java,1
Bengaluru(Halasuru),Linux,1
Bengaluru(Halasuru),R,1
Bengaluru(Hebbal),SQL,1
Bengaluru(Hebbal),AWS,1
Bengaluru(Hebbal),PySpark,1
Bengaluru(Hebbal),Airflow,1
Bengaluru(Hebbal),Snowflake,1
Bengaluru(Hebbal),ETL,1
Bengaluru(Hosur Road),Python,1
Bengaluru(Hosur Road),SQL,1
Bengaluru(Hosur Road),Machine Learning,1
Bengaluru(Hosur Road),Hypothesis Testing,1
Bengaluru(Jalahalli +3),Excel,1
Bengaluru(Jalahalli +3),KPI Reporting,1
Bengaluru(Jalahalli +3),Market Research,1
Bengaluru(Jalahalli +3),Power BI,1
Bengaluru(Jalahalli +3),Data Visualization,1
Bengaluru(Jp Nagar),BigQuery,1
Bengaluru(Jp Nagar),SQL,1
Bengaluru(Jp Nagar),Airflow,1
Bengaluru(Jp Nagar),Python,1
Bengaluru(Jp Nagar),PostgreSQL,1
Bengaluru(Jp Nagar),AWS,1
Bengaluru(Jp Nagar),ETL,1
Bengaluru(Kadubeesanahalli +1),SQL,1
Bengaluru(Kadubeesanahalli +1),Linux,1
Bengaluru(Kadubeesanahalli +1),Bash,1
Bengaluru(Kadubeesanahalli +1),AWS,1
Bengaluru(Kadubeesanahalli +1),Python,1
Bengaluru(Kengeri),Machine Learning,1
Bengaluru(Ramanagara +4),APIs,1
Bengaluru(Ramanagara +4),SQL,1
Bengaluru(Ramanagara +4),Agile,1
"Bengaluru, Delhi / Ncr",APIs,1
"Bengaluru, Delhi / Ncr, Mumbai (All Areas)",SQL,1
"Bengaluru, Delhi / Ncr, Mumbai (All Areas)",Agile,1
"Bengaluru, Mumbai (All Areas)",Azure,1
"Bengaluru, Mumbai (All Areas)",SQL,1
"Bengaluru, Mumbai (All Areas)",Data Warehousing,1
"Bhubaneswar, Kolkata, Mysuru",Spark,1
Bidar,AWS,3
Bidar,Java,2
Bidar,GCP,2
Bidar,Kafka,2
Bidar,SQL,2
Bidar,CI/CD,1
Bidar,Scala,1
Bidar,KPI Reporting,1
Bidar,Git,1
Bidar,Data Warehousing,1
Chamarajanagar,SQL,2
Chamarajanagar,Git,1
Chamarajanagar,GCP,1
Chamarajanagar,Java,1
Chamarajanagar,AWS,1
Chamarajanagar,KPI Reporting,1
"Chandigarh, Dadra & Nagar Haveli, Bengaluru",KPI Reporting,1
"Chandigarh, Pune",SQL,1
"Chandigarh, Pune",Java,1
"Chandigarh, Pune",APIs,1
"Chandigarh, Pune",Kafka,1
"Chandigarh, Pune",AWS,1
"Chandigarh, Pune",Agile,1
Chennai,Python,50
Chennai,SQL,45
Chennai,Business Recommendations,42
Chennai,Stakeholder Communication,42
Chennai,Future of Work,42
Chennai,Labor Market Analytics,42
Chennai,APIs,37
Chennai,LLM,31
Chennai,RAG,29
Chennai,Machine Learning,28
Chennai(Ashok Nagar),Python,1
Chennai(Ashok Nagar),SQL,1
Chennai(Egmore),Business Recommendations,1
Chennai(Guindy),Data Visualization,1
Chennai(Guindy),Power BI,1
Chennai(Guindy),Tableau,1
Chennai(Nungambakkam),Power BI,1
Chennai(Perungudi),Regression,1
Chennai(Perungudi),SQL,1
Chennai(Perungudi),Java,1
Chennai(Perungudi),APIs,1
Chennai(Saidapet +14),Excel,1
Chennai(Saidapet +14),Power BI,1
Chennai(Sholinganallur),Python,1
Chennai(Tharamani),Snowflake,1
Chennai(Tharamani),Power BI,1
Chennai(Thoraipakkam),Data Warehousing,1
Chennai(Thoraipakkam),ETL,1
Chennai(Thoraipakkam),SQL,1
Chennai(West Mambalam),Python,1
Chennai(West Mambalam),MySQL,1
Chennai(West Mambalam),Azure,1
"Chennai, Bengaluru",Python,5
"Chennai, Bengaluru",SQL,4
"Chennai, Bengaluru",CI/CD,3
"Chennai, Bengaluru",Bash,2
"Chennai, Bengaluru",APIs,2
"Chennai, Bengaluru",Scala,2
"Chennai, Bengaluru",AWS,2
"Chennai, Bengaluru",Spark,2
"Chennai, Bengaluru",Data Warehousing,2
"Chennai, Bengaluru",Databricks,1
"Chennai, Coimbatore",ETL,1
"Chennai, Coimbatore",SQL,1
"Chennai, Tamil Nadu",RAG,1
"Chennai, Tamil Nadu",Vector Database,1
"Chennai, Tamil Nadu",Classification,1
"Chennai, Tamil Nadu",LLM,1
"Chennai, Tamil Nadu",Python,1
"Chennai, Tamil Nadu",KPI Reporting,1
"Chennai, Tamil Nadu",SQL,1
"Chennai, Tamil Nadu",Natural Language Processing,1
"Chennai, Tamil Nadu",Power BI,1
"Chennai, Tamil Nadu",LangChain,1
"Chennai, Thiruvananthapuram",Excel,2
"Chennai, Thiruvananthapuram",KPI Reporting,1
"Chennai, Thiruvananthapuram",SQL,1
"Chennai, Thiruvananthapuram",Machine Learning,1
"Chennai, Thiruvananthapuram",Python,1
"Chennai, Thiruvananthapuram",Power BI,1
